data_year,utility_characteristics_facility_number,utility_characteristics_facility_name,utility_number,utility_name,state,ba_code,residential_revenues_thousand_dollars,residential_sales_megawatthours,residential_customers_count,commercial_revenues_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,industrial_revenues_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,transportation_revenues_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,total_revenues_thousand_dollars,total_sales_megawatthours,total_customers_count
2024,65523.0,CA-DGS-California Men's Colony,62856.0,"Forefront Power, LLC",CA,CISO,0.0,0.0,0.0,404.0,4552.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,4552.0,1.0
2024,65447.0,CA-Ventura Co CCD-Oxnard College Canopy,62856.0,"Forefront Power, LLC",CA,CISO,0.0,0.0,0.0,329.0,2719.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,2719.0,1.0
2024,60036.0,CCBC-Catonsville,58491.0,"Luminace Solar Holding, LLC",MD,PJM,0.0,0.0,0.0,203.0,2538.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,2538.0,1.0
2024,59248.0,CCMUA,59063.0,"Camden Solar Center, LLC",NJ,PJM,0.0,0.0,0.0,40.0,823.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,823.0,1.0
2024,63971.0,CCUA Solar,63625.0,"CCUA Solar, LLC",NJ,PJM,0.0,0.0,0.0,0.0,0.0,0.0,121.0,2591.0,1.0,0.0,0.0,0.0,121.0,2591.0,1.0
2024,61620.0,CDCR (CA) - Corcoran State Prison,61225.0,"SunE Corcoran SP Owner, LLC",CA,CISO,0.0,0.0,0.0,693.0,6931.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,6931.0,1.0
2024,59748.0,CDCR (CA) - Pleasant Valley State Prison,59512.0,"Team-Solar, Inc.",CA,CISO,0.0,0.0,0.0,282.0,2822.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,2822.0,1.0
2024,61619.0,CDCR (CA) - Solano State Prison,61224.0,"SunE Solano SP Owner, LLC",CA,CISO,0.0,0.0,0.0,281.0,2278.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,2278.0,1.0
2024,61621.0,CDCR (CA) - Wasco State Prison,61226.0,"SunE Wasco SP Owner, LLC",CA,CISO,0.0,0.0,0.0,333.0,3325.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,3325.0,1.0
2024,60201.0,CES Cherry Hill Solar,57365.0,Consolidated Edison Solutions Inc.,NJ,PJM,0.0,0.0,0.0,0.0,0.0,0.0,237.0,1674.0,1.0,0.0,0.0,0.0,237.0,1674.0,1.0
2024,60029.0,CES VMT Solar,57365.0,Consolidated Edison Solutions Inc.,MD,PJM,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1445.0,1.0,0.0,0.0,0.0,165.0,1445.0,1.0
2024,63204.0,CID Solar (CA),62988.0,DG California Solar LLC,CA,CISO,0.0,0.0,0.0,0.0,0.0,0.0,365.0,3885.0,1.0,0.0,0.0,0.0,365.0,3885.0,1.0
2024,60225.0,CMEEC - Bozrah,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,367.0,3031.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,3031.0,1.0
2024,60608.0,CMEEC - Navy NE Trident,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,154.0,1274.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1274.0,1.0
2024,60609.0,CMEEC - Norwich Stott St Solar Hybrid,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,765.0,4342.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,4342.0,1.0
2024,60607.0,CMEEC - Polaris Park Solar Hybrid,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,765.0,4971.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,4971.0,1.0
2024,60605.0,CMEEC - Rogers Rd Solar,57313.0,Tesla Inc.,CT,ISNE,0.0,0.0,0.0,178.0,875.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,875.0,1.0
