data_year,state,ieee_standard_all_events_with_major_event_days_number_of_customers,ieee_standard_all_events_with_major_event_days_saidi_minutes_per_year,ieee_standard_all_events_with_major_event_days_saifi_times_per_year,ieee_standard_all_events_with_major_event_days_caidi_minutes_per_year,ieee_standard_without_major_event_days_saidi_minutes_per_year,ieee_standard_without_major_event_days_saifi_times_per_year,ieee_standard_without_major_event_days_caidi_minutes_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_saidi_minutes_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_saifi_times_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_caidi_minutes_per_year,any_standard_all_events_with_major_event_days_number_of_customers,any_standard_all_events_with_major_event_days_saidi_minutes_per_year,any_standard_all_events_with_major_event_days_saifi_times_per_year,any_standard_all_events_with_major_event_days_caidi_minutes_per_year,any_standard_without_major_event_days_saidi_minutes_per_year,any_standard_without_major_event_days_saifi_times_per_year,any_standard_without_major_event_days_caidi_minutes_per_year
2024,RI,509231.0,104.3,0.896,116.4,60.8,0.761,79.9,99.0,0.862,114.9,509231.0,104.3,0.896,116.4,60.8,0.761,79.9
2024,SC,2777406.0,3155.0,2.368,1332.3,115.9,1.198,96.7,2972.9,2.054,1447.2,2892839.0,3136.5,2.365,1326.3,117.8,1.207,97.6
2024,SD,365552.0,85.6,0.815,105.0,61.5,0.72,85.4,67.5,0.582,116,389248.0,84.7,0.815,104.0,62.1,0.72,86.2
2024,TN,2725858.0,289.3,1.939,149.2,169.9,1.752,97.0,283.3,1.896,149.4,3185407.0,278.6,2.0,139.3,159.5,1.764,90.4
2024,TX,9400350.0,1614.3,2.293,704.2,153.4,1.398,109.7,1724.6,2.27,759.9,14212346.0,1270.6,2.114,600.9,129.4,1.218,106.2
2024,UT,1220321.0,115.4,1.008,114.5,105.0,0.956,109.9,108.9,1.002,108.7,1261553.0,119.8,1.03,116.3,106.7,0.966,110.4
2024,VA,1256266.0,962.1,2.238,429.9,245.1,1.641,149.4,911.2,2.038,447,3957715.0,418.3,1.627,257.1,166.4,1.342,124.0
2024,VT,40741.0,895.8,3.34,268.2,231.8,1.4,165.6,884.6,2.06,429.4,337817.0,696.7,2.516,276.9,275.0,1.661,165.5
2024,WA,3420562.0,643.5,1.774,362.8,157.3,1.085,144.9,587.2,1.445,406.3,3618279.0,623.5,1.752,355.9,158.6,1.087,146.0
2024,WI,2388513.0,296.8,1.041,285.2,97.5,0.726,134.3,294.8,1.021,288.8,2970711.0,266.1,1.02,260.8,91.3,0.729,125.2
2024,WV,1001747.0,1165.5,2.832,411.5,486.1,2.287,212.6,1067.4,2.5,427,1001747.0,1165.5,2.832,411.5,486.1,2.287,212.6
2024,WY,254862.0,137.8,0.999,138.0,116.0,0.925,125.4,128.6,1.018,126.4,271591.0,137.8,0.999,138.0,109.1,0.869,125.6
"CAIDI = SAIDI / SAIFI.
MED- Major Event Days.
MINUS LOS- Minus Loss of Supply.
Any method equals IEEE plus other",,,,,,,,,,,,,,,,,,
