data_year,utility_number,utility_name,state,ba_code,reporting_year_incremental_annual_savings_energy_savings_mwh_residential,reporting_year_incremental_annual_savings_energy_savings_mwh_commercial,reporting_year_incremental_annual_savings_energy_savings_mwh_industrial,reporting_year_incremental_annual_savings_energy_savings_mwh_transportation,reporting_year_incremental_annual_savings_energy_savings_mwh_total,reporting_year_incremental_annual_savings_peak_demand_savings_mw_residential,reporting_year_incremental_annual_savings_peak_demand_savings_mw_commercial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_industrial,reporting_year_incremental_annual_savings_peak_demand_savings_mw_transportation,reporting_year_incremental_annual_savings_peak_demand_savings_mw_total,incremental_life_cycle_savings_energy_savings_mwh_residential,incremental_life_cycle_savings_energy_savings_mwh_commercial,incremental_life_cycle_savings_energy_savings_mwh_industrial,incremental_life_cycle_savings_energy_savings_mwh_transportation,incremental_life_cycle_savings_energy_savings_mwh_total,incremental_life_cycle_savings_peak_demand_savings_mw_residential,incremental_life_cycle_savings_peak_demand_savings_mw_commercial,incremental_life_cycle_savings_peak_demand_savings_mw_industrial,incremental_life_cycle_savings_peak_demand_savings_mw_transportation,incremental_life_cycle_savings_peak_demand_savings_mw_total,reporting_year_incremental_cost_customer_incentives_thousand_dollars_residential,reporting_year_incremental_cost_customer_incentives_thousand_dollars_commercial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_industrial,reporting_year_incremental_cost_customer_incentives_thousand_dollars_transportation,reporting_year_incremental_cost_customer_incentives_thousand_dollars_total,reporting_year_incremental_cost_all_other_costs_thousand_dollars_residential,reporting_year_incremental_cost_all_other_costs_thousand_dollars_commercial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_industrial,reporting_year_incremental_cost_all_other_costs_thousand_dollars_transportation,reporting_year_incremental_cost_all_other_costs_thousand_dollars_total,incremental_life_cycle_costs_customer_incentives_thousand_dollars_residential,incremental_life_cycle_costs_customer_incentives_thousand_dollars_commercial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_industrial,incremental_life_cycle_costs_customer_incentives_thousand_dollars_transportation,incremental_life_cycle_costs_customer_incentives_thousand_dollars_total,incremental_life_cycle_costs_all_other_costs_thousand_dollars_residential,incremental_life_cycle_costs_all_other_costs_thousand_dollars_commercial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_industrial,incremental_life_cycle_costs_all_other_costs_thousand_dollars_transportation,incremental_life_cycle_costs_all_other_costs_thousand_dollars_total,weighted_average_life_years_residential,weighted_average_life_years_commercial,weighted_average_life_years_industrial,weighted_average_life_years_transportation,weighted_average_life_years_website
2024,2442.0,City of Bryan - (TX),TX,ERCO,331.725,608.67,,,940.395,0.1,0.2,,,0.3,3317.25,6086.7,,,9403.95,0.1,0.1,,,0.2,94.823,44.974,,,139.797,,,,,,94.823,44.974,,,139.797,0,0,,,0,10,10,,,
2024,2507.0,City of Burbank Water and Power,CA,LDWP,3093.952,4688.864,,,7782.816,0.247,1.274,,,1.521,10366.539,69255.012,,,79621.551,0.247,1.274,,,1.521,869.212,393.776,,,1262.988,72.552,561.46,,,634.012,869.212,393.776,,,1262.988,72.553,561.46,,,634.013,3.45,14.81,,,
2024,2548.0,City of Burlington Electric - (VT),VT,ISNE,511,738,0,0,1249,0.088,0.06,0,0,0.148,8729,12767,0,0,21496,0.088,0.06,0,0,0.148,596.542,570.877,0,0,1167.419,366.57,556.262,0,0,922.832,596.542,570.877,0,0,1167.419,366.57,556.262,0,0,922.832,17.08,17.3,0,0,www.burlingtonelectric.com
2024,2643.0,Butler Public Power District - (NE),NE,SWPP,67.761,275.544,172.763,0,516.068,0.016,0.056,0,0,0.072,933.015,3030.984,1299.601,0,5263.6,0.016,0.056,0,0,0.072,19.18,27.106,9.1,0,55.386,1.321,24.088,4.308,0,29.717,19.18,27.106,9.1,0,55.386,1.321,24.088,4.308,0,29.717,13.769,11,7.522,0,
2024,3046.0,Duke Energy Progress - (NC),NC,CPLE,214408.71,68945.508,,,283354.218,37.939,14.106,,,52.045,1318921.397,956529.38,,,2275450.777,37.939,14.106,,,52.045,31384.632,9682.562,,,41067.194,15960.097,7790.262,,,23750.359,31384.632,9682.562,,,41067.194,15960.097,7790.262,,,23750.359,6.151,13.874,,,
2024,3046.0,Duke Energy Progress - (NC),SC,CPLE,35371.634,11374.143,,,46745.777,6.259,2.327,,,8.586,217586.33,157801.456,,,375387.786,6.259,2.327,,,8.586,5177.615,1597.361,,,6774.976,2632.984,1285.182,,,3918.166,5177.615,1597.361,,,6774.976,2632.984,1285.182,,,3918.166,6.151,13.874,,,
2024,3107.0,Carteret-Craven El Member Corp,NC,CPLE,2060.315,184.988,,,2245.303,0.236,0.008,,,0.244,2125.451,3144.788,,,5270.239,0.25,0.008,,,0.258,1.1,0,,,1.1,15.904,177.763,,,193.667,1.1,0,,,1.1,15.904,177.763,,,193.667,1.66,17,,,"5a.  customer rebates for heat pump water heater purchases and installations were $1,100 6a,  our internal expenses associated with running the residential energy efficiency programs were $15,904.00 5b no commercial incentives were provided 6b Internal expenses for providing programs to commercial were $177,763.09 -this is program for changing out street lights for towns to LED lighting"
2024,3203.0,Cedar Falls Utilities,IA,MISO,553.262,581.526,142.757,0,1277.545,0.286,0.138,0.053,0,0.477,8673.141,11320.345,2357.773,0,22351.259,0.286,0.138,0.053,0,0.477,122.443,52.218,4.077,0,178.738,357.746,18.486,3.558,0,379.79,122.443,52.218,4.077,0,178.738,357.746,18.486,3.558,0,379.79,15.542,13.812,16.538,0,
2024,3205.0,Cedar-Knox Public Power Dist,NE,SWPP,139.118,252.49,103.038,,494.646,0.031,0.035,0,,0.066,1937.507,2777.39,739.022,,5453.919,0.031,0.035,0,,0.066,50.469,7.845,6.42,,64.734,6.721,11.825,3.528,,22.074,50.469,7.845,6.42,,64.734,6.721,11.825,3.528,,22.074,13.927,11,7.172,,No website; information is given by email from wholesale provider
2024,3240.0,Central Electric Coop Inc - (OR),OR,BPAT,541,785,489,0,1815,0.099,0.143,0.089,0,0.331,10650,9492,5350,0,25492,0.099,0.143,0.089,0,0.331,871,153,190,0,1214,0,0,0,0,0,871,153,190,0,1214,,,,,,19.7,12.09,10.95,0,
2024,3245.0,"Central Florida Elec Coop, Inc",FL,SEC,78.083,32.085,,,110.168,0.007,0,,,0.007,943.708,366.27,,,1309.978,0.007,,,,0.007,,,,,,93.368,40.768,,,134.136,,,,,,93.368,40.768,,,134.136,12.086,11.42,,,
2024,3248.0,Central Georgia El Member Corp,GA,SOCO,126.088,,,,126.088,0.036,,,,0.036,1482.279,,,,1482.279,0.036,,,,0.036,11,,,,11,12,,,,12,11,,,,11,12,,,,12,10,,,,
2024,3249.0,Central Hudson Gas & Elec Corp,NY,NYIS,13391,19587,,,32978,,,,,,103752.374,231465.797,,,335218.171,,,,,,582.627,3643.474,,,4226.101,1006.41,467.609,,,1474.019,582.627,3643.474,,,4226.101,1006.41,467.609,,,1474.019,7.748,11.817,,,
2024,3264.0,Central Lincoln People's Ut Dt,OR,BPAT,1159.584,470.588,5.288,0,1635.46,0.33,0.023,0,0,0.353,23950.212,6627.452,47.595,0,30625.259,0.33,0.023,0,0,0.353,2463.376,151.681,0,0,2615.057,106.184,43.092,0.484,0,149.76,2463.376,151.681,0,0,2615.057,106.184,43.092,0.484,0,149.76,20.654,14.083,9,0,clpud.org
2024,3265.0,Cleco Power LLC,LA,MISO,21406.76,13583.84,1337.78,,36328.38,4.1,4.43,0.46,,8.99,331047.12,164794.7,18310.52,,514152.34,4.1,4.43,0.46,,8.99,2948.78,1924.1,174.01,,5046.89,1056.3,645.81,58.03,,1760.14,2948.78,1924.1,174.01,,5046.89,1056.3,645.81,58.03,,1760.14,15.5,12.1,13.7,,www.cleco.com
2024,3278.0,AEP Texas Central Company,TX,ERCO,22861.44,25746.47,,,48607.91,8.56,55.27,,,63.83,378431.4,621495.9,,,999927.3,8.6,55.3,,,63.9,9019.98,5710.65,,,14730.63,820.09,598.04,,,1418.13,9020,5711,,,14731,820,598,,,1418,16.6,24.1,,,
2024,3287.0,"Central Valley Elec Coop, Inc",NM,SWPP,44.364,9.951,0,0,54.315,0.011,0.003,0,0,0.014,44.364,9.951,0,0,54.315,0.011,0.003,0,0,0.014,1.4,1.143,0,0,2.543,49.389,0,0,0,49.389,1.4,1.143,0,0,2.543,49.389,0,0,0,49.389,1,1,0,0,
2024,3400.0,City of Chaska - (MN),MN,MISO,664.1,3653.6,1841.2,,6158.9,0.22,0.46,0.86,,1.54,6641.4,36535.5,18412.3,,61589.2,0.22,0.46,0.86,,1.54,64.45,129.47,63.35,,257.27,39.98,80.3,39.3,,159.58,64.45,129.47,63.35,,257.27,39.98,80.3,39.3,,159.58,10,10,10,30,
2024,3413.0,PUD No 1 of Chelan County,WA,CHPD,1675.387,9162.91,884.713,,11723.01,0.765,2.092,0.168,,3.025,27458.503,120613.361,12574.479,,160646.343,0.765,2.092,0.168,,3.025,1256.789,4236.531,414.221,,5907.541,605.157,504.653,63.419,,1173.229,1256.789,4236.531,414.221,,5907.541,605.157,504.653,63.419,,1173.229,17.3,13.09,13.45,,
2024,3461.0,Cheyenne Light Fuel & Power,WY,WACM,78.27,902.68,0,0,980.95,19.9,217.65,0,0,237.55,994.4,11143.74,0,0,12138.14,16.03,138.89,0,0,154.92,31,147,0,0,178,57,189,0,0,246,31,147,0,0,178,57,189,0,0,246,12.7,12.35,,,
2024,3477.0,City of Chicopee - (MA),MA,ISNE,202.281,1220.459,508.928,,1931.668,0.023,0.243,0.083,,0.349,2022.81,18306.885,7633.92,,27963.615,0.023,0.243,0.083,,0.349,176.968,145.59,126.205,,448.763,196.946,39.554,34.287,,270.787,176.968,145.59,126.205,,448.763,196.946,39.554,34.287,,270.787,10,15,15,,
2024,3502.0,"Choctawhatche Elec Coop, Inc",FL,SOCO,48.78,0,0,0,48.78,0.118,0,0,0,0.118,731.7,0,0,0,731.7,0.118,0,0,0,0.118,12.4,0,0,0,12.4,0,0,0,0,0,12.4,0,0,0,12.4,0,0,0,0,0,0.004,0,0,0.004,
2024,3644.0,PUD No 1 of Clallam County,WA,BPAT,1358.324,1340.71,24.857,,2723.891,0.396,0.025,0.003,,0.424,25047.115,16335.992,298.287,,41681.394,0.396,0.025,0.003,,0.424,449.626,113.954,16.504,,580.084,205.492,41.083,11.747,,258.322,449.626,113.954,16.504,,580.084,205.492,41.083,11.747,,258.322,18.44,12.185,28.927,,
2024,3660.0,PUD No 1 of Clark County - (WA),WA,BPAT,29454,11406,17375,,58235,6.034,2.337,3.56,,11.931,88362,102654,191125,,382141,6.034,2.337,3.56,,11.931,2556,2583,3916,,9055,386,86,0,,472,2556,2583,3916,,9055,386,86,0,,472,3,9,11,,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2024,3755.0,Cleveland Electric Illum Co,OH,PJM,4450.07,17477.338,4426.148,0,26353.556,0.58,3.046,0.779,0,4.405,98082.481,149288.437,40819.602,0,288190.52,0.58,3.046,0.779,0,4.405,2022.699,2011.429,340.567,0,4374.695,646.21,576.875,228.631,0,1451.716,2022.699,2011.429,340.567,0,4374.695,646.21,576.875,228.631,0,1451.716,22.041,8.542,9.222,0,https://dis.puc.state.oh.us/
2024,3757.0,"Clay Electric Cooperative, Inc - (FL)",FL,SEC,2151.96,0,0,0,2151.96,0.52,0,0,0,0.52,28807.02,0,0,0,28807.02,0.52,0,0,0,0.52,50.03,0,0,0,50.03,910.03,0,0,0,910.03,50.03,0,0,0,50.03,910.03,0,0,0,910.03,13.391,0,0,0,
2024,3828.0,Cloverland Electric Co-op,MI,MISO,1289,2405,,,3694,0.121,0.351,,,0.472,17966,29577,,,47543,0.121,0.351,,,0.472,545.571,235.418,,,780.989,276.906,133.323,,,410.229,545.571,235.418,,,780.989,276.906,133.323,,,410.229,13.94,12.3,,,
2024,3841.0,Coast Electric Power Assn - (MS),MS,SOCO,4130.6,25.4,0,0,4156,1,0,0,0,1,25758.7,380.9,0,0,26139.6,1,0,0,0,1,358,7.1,0,0,365.1,3.5,0,0,0,3.5,358,7.1,0,0,365.1,3.5,0,0,0,3.5,6.24,15,0,0,
2024,3915.0,Coldwater Board of Public Util,MI,MISO,176.208,5410.473,538.202,,6124.883,0.016,1.38,0.126,,1.522,1233.456,54104.73,5382.02,,60720.206,0.016,1.38,0.126,,1.522,3.86,11.3,1.8,,16.96,2.9,5.5,5.8,,14.2,27,113,18,,158,20,55,58,,133,7,10,10,,
2024,3940.0,City of College Station - (TX),TX,ERCO,562,511,,,1073,0.374,0.14,,,0.514,7305,6643,,,13948,0.374,0.14,,,0.514,176,14,,,190,125,10,,,135,176,14,,,190,125,10,,,135,13,13,,,
2024,3989.0,City of Colorado Springs - (CO),CO,WACM,765.474,2613.645,0,0,3379.119,0.119,0.56,0,0,0.679,10505.07,36754.68,0,0,47259.75,0.119,0.679,0,0,0.798,0.05,18.174,0,0,18.224,150.547,507.222,0,0,657.769,0.05,18.174,0,0,18.224,150.547,507.222,0,0,657.769,13.7,14.1,0,0,
2024,4003.0,City of Colton - (CA),CA,CISO,4362,166,,,4528,1,7,,,8,89955,2106,,,92061,1,7,,,8,0,0,,,0,345,8,,,353,0,0,,,0,345,8,,,353,24,13,,,
2024,4041.0,"Columbia Rural Elec Assn, Inc",WA,BPAT,88,36,301,,425,0.016,0.007,0.055,,0.078,1505,428,3149,,5082,0.016,0.007,0.055,,0.078,49,17,114,,180,,,,,,49,17,114,,180,,,,,,17.09,12,10.47,,
2024,4045.0,City of Columbia - (MO),MO,MISO,831,5623,,,6454,0.299,1.214,,,1.513,17451,84345,,,101796,0.299,1.214,,,1.513,323,70,,,393,150,100,,,250,323,70,,,393,150,100,,,250,21,15,,,www.como.gov
2024,4110.0,Commonwealth Edison Co,IL,PJM,2242336,947103,,,3189439,89,141,,,230,35083652.02,12296385.16,,,47380037.18,89,141,,,230,96718.2,171954.65,,,268672.85,65760.74,61442.75,,,127203.49,96718.2,171954.65,,,268672.85,65760.74,61442.75,,,127203.49,15.69,12.78,,,
2024,4176.0,Connecticut Light & Power Co,CT,ISNE,17912.584,87110.255,26019.946,,131042.785,2.451,15.512,4.634,,22.597,265191.183,691028.845,206411.213,,1162631.241,2.451,15.512,4.634,,22.597,51034.291,32917.414,9832.474,,93784.179,17814.027,16247.247,4378.803,,38440.077,51034.291,32917.414,9832.474,,93784.179,17814.027,16247.247,4378.803,,38440.077,14.805,7.933,7.933,,http://www.ctenergydashboard.com 
2024,4226.0,Consolidated Edison Co-NY Inc,NY,NYIS,167614.53,112353.26,,,279967.79,49.64,25.08,,,74.72,940922.16,1202595.5,,,2143517.66,53.7,23.77,,,77.47,20300,60182,,,80482,4781,10166,,,14947,26251,104012,,,130263,5027,13070,,,18097,5.61,10.7,,,
2024,4254.0,Consumers Energy Co - (MI),MI,MISO,144534.342,368478.872,116361.749,,629374.963,13.37,58,18,,89.37,994597.822,4031156.155,1272996.68,,6298750.657,13.37,58,18,,89.37,35933.335,13547.378,42900.033,,92380.746,43934.365,49151.195,15521.43,,108606.99,35933.335,13547.378,42900.033,,92380.746,43934.365,49151.195,15521.43,,108606.99,6.881,10.939,10.939,,
2024,4317.0,"Coos-Curry Electric Coop, Inc",OR,BPAT,131,74,,,205,0.024,0.013,,,0.037,2862,1454,,,4316,0.024,0.013,,,0.037,88.2,24.6,,,112.8,,,,,,88.2,24.6,,,112.8,,,,,,21.8,19.73,0,0,
2024,4363.0,Corn Belt Power Coop,IA,SWPP,1003.886,1280.623,359.274,,2643.783,0.203,0.343,0.054,,0.6,18964.987,16400.851,5327.861,,40693.699,0.203,0.343,0.054,,0.6,170.075,54.185,6.706,,230.966,41.564,11.734,3.292,,56.59,170.075,54.185,6.706,,230.966,41.564,11.734,3.292,,56.59,18.892,12.807,14.83,,
2024,4401.0,"Cotton Electric Coop, Inc",OK,SWPP,159.249,0,0,0,159.249,0.037,0,0,0,0.037,2229.486,0,0,0,2229.486,0.033,0,0,0,0.033,80.742,0,0,0,80.742,8.029,0,0,0,8.029,172.652,0,0,0,172.652,8.029,0,0,0,8.029,14,,,,www.cottonelectric.com
2024,4432.0,Coweta-Fayette El Member Corp,GA,SOCO,1765.213,20.838,,,1786.051,1.173,0.014,,,1.187,17652.13,208.38,,,17860.51,1.173,0.014,,,1.187,60.816,0.77,,,61.586,296.639,1.35,,,297.989,60.816,0.77,,,61.586,296.639,1.35,,,297.989,10,10,,,www.utility.org
2024,4442.0,PUD No 1 of Cowlitz County,WA,BPAT,966.969,2261.792,12948.267,,16177.028,0.144,0.336,1.478,,1.958,18812.888,27477.514,131163.751,,177454.153,0.144,0.336,1.478,,1.958,1341.021,533.447,2181.421,,4055.889,445.519,168.486,98.595,,712.6,1341.021,533.447,2181.421,,4055.889,445.519,168.486,98.595,,712.6,19.456,12.149,10.13,,https://www.cowlitzpud.org/efficiency/conservation-potential-assessment/
2024,4671.0,Custer Public Power District,NE,SWPP,161.502,58.51,160.031,,380.043,0.034,0.009,0,,0.043,2928.444,643.61,1078.848,,4650.902,0.034,0.009,0,,0.043,48.522,3.427,10.809,,62.758,9.49,2.402,8.185,,20.077,48.522,3.427,10.809,,62.758,9.49,2.402,8.185,,20.077,18.133,11,6.741,,
2024,4683.0,City of Cuyahoga Falls - (OH),OH,PJM,0,989.301,0,0,989.301,0,0.271,0,0,0.271,0,14840,0,0,14840,0,0.271,0,0,0.271,0,42.04,0,0,42.04,0,0,0,0,0,0,42.04,0,0,42.04,0,0,0,0,0,0,15,0,0,
2024,4743.0,"Consumers Power, Inc",OR,BPAT,383.861,290.768,15.2,0,689.829,0.099,0.06,0.003,0,0.162,6232.353,6629.519,182.395,0,13044.267,0.099,0.06,0.003,0,0.162,266.307,17.095,1.976,0,285.378,46.486,35.212,1.841,0,83.539,266.307,17.095,1.976,0,285.378,46.486,35.212,1.841,0,83.539,16.236,22.8,12,0,https://cpi.coop/
2024,4794.0,City of Danville - (VA),VA,PJM,119.27,253.802,37.346,,410.418,0.047,0.089,0.016,,0.152,1978.82,3807.04,560.196,,6346.056,0.047,0.089,0.016,,0.152,46.057,10.573,3.071,,59.701,118.77,,,,118.77,46.057,10.573,3.071,,59.701,118.77,,,,118.77,16.59,15,15,,
2024,4911.0,Dawson Power District,NE,SWPP,850.631,264.533,888.778,,2003.942,0.183,0.039,0.007,,0.229,14497.62,2962.284,8564.927,,26024.831,0.183,0.039,0.007,,0.229,286.45,14.339,38.539,,339.328,39.784,5.99,24.811,,70.585,286.45,14.339,38.539,,339.328,39.784,5.99,24.811,,70.585,17.043,11.198,9.637,,
2024,5027.0,Delmarva Power,MD,PJM,17243,32567,,,49810,3.4,5.3,,,8.7,79897,436461,,,516358,3.4,5.3,,,8.7,4447,11114,,,15561,4585,5910,,,10495,4447,11114,,,15561,4585,5910,,,10495,4.6,13.4,,,
2024,5063.0,City of Denton - (TX),TX,ERCO,703.805,,,,703.805,0.269,,,,0.269,10557.079,,,,10557.079,0.269,,,,0.269,737.363,,,,737.363,40,,,,40,737.363,,,,737.363,40,,,,40,15,,,,
2024,5070.0,Delaware Electric Cooperative,DE,PJM,249.072,214.435,,,463.507,5.593,0,,,5.593,1026.8,1436.5,,,2463.3,2.9,0,,,2.9,114,1299,,,1413,11,144,,,155,114,1299,,,1413,11,144,,,155,7.8,13,,,
2024,5109.0,DTE Electric Company,MI,MISO,198044,720697,,,918741,31.19,129.02,,,160.21,1162628,8300520,,,9463148,29.65,119.27,,,148.92,,,,,,82785,113228,,,196013,,,,,,82785,113228,,,196013,5.38,10.34,,,
2024,5175.0,Dixie Electric Power Assn - (MS),MS,MISO,2657.4,,,,2657.4,0.2,,,,0.2,6751.5,,,,6751.5,0.2,,,,0.2,5.2,,,,5.2,423.2,,,,423.2,5.2,,,,5.2,423.2,,,,423.2,2.63,,,,
2024,5204.0,Dixie Electric Coop - (AL),AL,SOCO,14.1,,,,14.1,,,,,,141,,,,141,,,,,,5.4,,,,5.4,,,,,,5.4,,,,5.4,,,,,,10,,,,
2024,5416.0,"Duke Energy Carolinas, LLC",NC,DUK,358096.266,183773.937,,,541870.203,60.835,32.579,,,93.414,1188148.936,2652095.427,,,3840244.363,60.835,32.579,,,93.414,21494.343,24743.739,,,46238.082,17402.516,12931.352,,,30333.868,21494.343,24743.739,,,46238.082,17402.516,12931.352,,,30333.868,3.3,14.4,,,
2024,5416.0,"Duke Energy Carolinas, LLC",SC,DUK,128397.175,65893.048,,,194290.223,21.812,11.682,,,33.494,426016.638,950921.844,,,1376938.482,21.812,11.682,,,33.494,7706.903,8871.989,,,16578.892,6239.758,4636.599,,,10876.357,7706.903,8871.989,,,16578.892,6239.758,4636.599,,,10876.357,3.3,14.4,,,
2024,5417.0,Dunn County Electric Coop,WI,MISO,388,55,0,0,443,0.039,0,0,0,0.039,5854,770,0,0,6624,0.039,0,0,0,0.039,65.297,0.684,0,0,65.981,99.979,1.065,0,0,101.044,65.297,0.684,0,0,65.981,99.979,1.065,0,0,101.044,15.087,14,0,0,
2024,5487.0,Duquesne Light Co,PA,PJM,26090.15,39113.07,10024.95,,75228.17,4.5,7.58,1.67,,13.75,162075.54,378143.45,98873.99,,639092.98,4.5,7.58,1.67,,13.75,3928,3970,369,,8267,3322,4164,922,,8408,3928,3970,369,,8267,3322,4164,922,,8408,6.21,9.67,9.86,,
2024,5552.0,"East River Elec Pwr Coop, Inc",SD,SWPP,0,0,0,0,0,54.4,2.8,10.8,0,68,0,0,0,0,0,54.4,2.8,10.8,0,68,2,0.17,0.043,0,2.213,583.21,80.12,20.03,0,683.36,2,0.17,0.043,0,2.213,583.21,80.12,20.03,0,683.36,,,,,
2024,5580.0,"East Kentucky Power Coop, Inc",KY,PJM,5312,,,,5312,1.9,,,,1.9,98270,,,,98270,1.9,,,,1.9,1005,,,,1005,186,,,,186,1005,,,,1005,186,,,,186,18.5,,,,
2024,5605.0,Eastern Iowa Light & Power Coop,IA,MISO,212.346,,,,212.346,0.019,,,,0.019,4068.831,,,,4068.831,0.019,,,,0.019,93.173,,,,93.173,17.562,,,,17.562,93.173,,,,93.173,17.562,,,,17.562,19.15,,,,
2024,5701.0,El Paso Electric Co,NM,EPE,4422,8045,,,12467,1.6,1.5,,,3.1,72450,102655,,,175105,1.6,1.5,,,3.1,1085,927,,,2012,1149,981,,,2130,1085,927,,,2012,1149,981,,,2130,16,13,,,
2024,5701.0,El Paso Electric Co,TX,EPE,4456,11119,,,15575,2.1,3.1,,,5.2,59202,140384,,,199586,2.1,3.1,,,5.2,1516,1726,,,3242,90,75,,,165,1516,1726,,,3242,90,75,,,165,13,13,,,
2024,5773.0,City of Elk River,MN,MISO,563.548,778.588,2263.963,,3606.099,,,,,,4052.812,9312.925,28129.548,,41495.285,,,,,,93.123,27.776,83.226,,204.125,219.173,37.205,111.48,,367.858,93.123,27.776,83.226,,204.125,219.173,37.205,111.48,,367.858,9.8,11.96,12.47,,
2024,5780.0,Elkhorn Rural Public Pwr Dist,NE,SWPP,91.676,11.436,277.162,,380.274,0.018,0.002,0,,0.02,1457.778,125.796,2063.006,,3646.58,0.018,0.002,0,,0.02,37.33,0.536,14.21,,52.076,5.08,0.386,17.255,,22.721,37.33,0.536,14.21,,52.076,5.08,0.386,17.255,,22.721,15.901,11,7.443,,www.erppd.com
2024,5832.0,Elmhurst Mutual Power & Light Co,WA,BPAT,118,256,,,374,0.022,0.047,,,0.069,2022,3077,,,5099,0.022,0.047,,,0.069,101,71,,,172,,,,,,101,71,,,172,,,,,,17.09,12,0,0,
2024,5860.0,Empire District Electric Co,MO,SWPP,2264,14355,,,16619,0.41,1.93,,,2.34,31306,189213,,,220519,0.41,1.93,,,2.34,287.303,1709.785,,,1997.088,678.941,547.89,,,1226.831,287.303,1709.785,,,1997.088,678.941,547.89,,,1226.831,13.828,13.181,,,
2024,5862.0,"Empire Electric Assn, Inc",CO,WACM,1765.66,87.52,,,1853.18,0.31,0.02,,,0.33,26393.1,1050.23,,,27443.33,0.32,0.02,,,0.34,300.48,3.89,,,304.37,,,,,,300.48,3.89,,,304.37,,,,,,14.68,12,,,No website address available.
2024,5930.0,Village of Fairport - (NY),NY,NYIS,2478.5,78.16,0,0,2556.66,24.19,0.62,0,0,24.81,24784.95,781.63,0,0,25566.58,21.26,0.62,0,0,21.88,395.37,65.14,0,0,460.51,41.5,1.717,0,0,43.217,395.37,65.14,0,0,460.51,41.5,1.72,0,0,43.22,10,12,0,0,https://ieepny.com/annual-report/
2024,6022.0,City of Eugene - (OR),OR,BPAT,2396,3712,1632,0,7740,0.858,1.036,0.13,0,2.024,37237.8,63475.2,24480,0,125193,0.858,1.036,0.13,0,2.024,2447,649.42,248.18,0,3344.6,0,0,0,0,0,2447,649.42,248.18,0,3344.6,0,0,0,0,0,16.46,17.06,15,0,
2024,6198.0,"Farmers Electric Coop, Inc - (NM)",NM,SWPP,117,,,,117,0.285,,,,0.285,117,,,,117,0.285,,,,0.285,36.821,,,,36.821,0,,,,0,36.821,,,,36.821,0,,,,0,1,,,,www.fecnm.org
2024,6374.0,Fitchburg Gas & Elec Light Co,MA,ISNE,1550,882.76,1332.24,,3765,0.13,0.12,0.41,,0.66,20767,16251.2,24525.8,,61544,0.13,0.12,0.41,,0.66,1654.33,990.99,687.49,,3332.81,533.31,685.98,475.89,,1695.18,1654.33,990.99,687.49,,3332.81,533.31,685.98,475.89,,1695.18,13.4,18.41,18.41,,http://www.mass.gov/utility-filings-and-tariffs
2024,6395.0,Flathead Electric Coop Inc,MT,BPAT,357.329,1005.135,430.39,,1792.854,,,,,,8201.078,12265.094,3838.059,,24304.231,,,,,,398.825,183.986,121.598,,704.409,,,,,,398.825,183.986,121.598,,704.409,,,,,,22.95,12.2,8.92,,www.bpa.gov
2024,6452.0,Florida Power & Light Co,FL,FPL,47294,33811,,,81105,18,16,,,34,613657,839264,,,1452921,18,16,,,34,5555.835,6497.325,,,12053.16,7067.852,1273.684,,,8341.536,5555.835,6497.325,,,12053.16,7067.852,1273.684,,,8341.536,13,25,,,
2024,6455.0,"Duke Energy Florida, LLC",FL,FPC,43758,8948,0,0,52706,22.2,3.9,0,0,26.1,522913,115908,0,0,638821,22.2,3.9,0,0,26.1,10490,672,0,0,11162,7086,2060,0,0,9146,10490,672,0,0,11162,7086,2060,0,0,9146,12,13,0,0,Duke Energy Florida.pdf (floridapsc.com)   
2024,6457.0,Florida Public Utilities Co,FL,JEA,185,3,,,188,0.152,0.017,,,0.169,1850,30,,,1880,0.152,0.017,,,0.169,15,2,,,17,56,26,,,82,15,2,,,17,56,26,,,82,10,10,,,
2024,6604.0,City of Fort Collins - (CO),CO,PSCO,11939.1,9823.5,9823.5,,31586.1,0.248,0.319,0.319,,0.886,49669.3,45309.7,45309.7,,140288.7,0.248,0.319,0.319,,0.886,1350.1,1193.2,1193.2,,3736.5,1136.7,581.4,581.4,,2299.5,1350.1,1193.2,1193.2,,3736.5,1136.7,581.4,581.4,,2299.5,4.2,4.6,4.6,,www.fcgov.com/conserves www.efficiencyworks.org
2024,6616.0,Fort Pierce Utilities Authority,FL,,144.111,,,,144.111,0.016,,,,0.016,2016.928,,,,2016.928,0.016,,,,0.016,34.275,,,,34.275,2.625,,,,2.625,34.275,,,,34.275,2.625,,,,2.625,13.88,,,,
2024,6640.0,Four County Elec Member Corp,NC,CPLE,28550,,,,28550,1.27,,,,1.27,285500,,,,285500,1.27,,,,1.27,9.85,,,,9.85,270.5,,,,270.5,14,,,,14,270.5,,,,270.5,10,,,,
2024,6716.0,PUD No 1 of Franklin County,WA,BPAT,299,802,2620,,3721,0.055,0.147,0.478,,0.68,12590,9840,27330,,49760,0.055,0.147,0.478,,0.68,1017,116,271,,1404,0,0,0,,0,1017,116,271,,1404,0,0,0,,0,42.11,12.26,10.43,,
