data_year,utility_number,utility_name,part,service_type,data_type,state,ownership,ba_code,residential_revenues_thousand_dollars,residential_sales_megawatthours,residential_customers_count,commercial_revenues_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,industrial_revenues_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,transportation_revenues_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,total_revenues_thousand_dollars,total_sales_megawatthours,total_customers_count
2024,3278.0,AEP Texas Central Company,C,Delivery,O,TX,Investor Owned,ERCO,612872.1,10660737.0,784148.0,413815.8,10152977.0,124961.0,97933.0,10368769.0,7022.0,,,,1124620.9,31182483.0,916131.0
2024,8901.0,CenterPoint Energy,C,Delivery,O,TX,Investor Owned,ERCO,1615303.1,32768523.0,2485470.0,1064946.1,28202435.0,324291.0,513815.9,44983552.0,2058.0,1771.7,59166,1,3195836.8,106013676.0,2811820.0
2024,11292.0,City of Lubbock - (TX),C,Delivery,O,TX,Municipal,ERCO,48318.0,795850.0,90455.0,53396.0,1104490.0,14616.0,2883.0,73414.0,9.0,,,,104597.0,1973754.0,105080.0
2024,13830.0,Nueces Electric Cooperative,C,Delivery,O,TX,Cooperative,ERCO,0.0,0.0,0.0,4002.2,77195.0,1230.0,2138.5,154797.0,15.0,0,0,0,6140.7,231992.0,1245.0
2024,20404.0,AEP Texas North Company,C,Delivery,O,TX,Investor Owned,ERCO,103134.5,1896215.0,157455.0,87962.1,6128780.0,37485.0,42967.8,2951868.0,5189.0,0,0,0,234064.4,10976863.0,200129.0
2024,40051.0,Texas-New Mexico Power Co,C,Delivery,O,TX,Investor Owned,ERCO,204020.0,3223123.0,233056.0,175093.0,5674061.0,43845.0,35882.0,8231633.0,102.0,,,,414995.0,17128817.0,277003.0
2024,44372.0,Oncor Electric Delivery Company LLC,C,Delivery,O,TX,Investor Owned,ERCO,2421736.9,46669589.0,3477215.0,1829429.9,49826500.0,523112.0,650976.0,65686094.0,10645.0,5207.8,156924,1,4907350.6,162339107.0,4010973.0
"This data should not be added to the data in sales to ultimate customers, since it is already included by the power marketers on Part D",,,,,,,,,,,,,,,,,,,,,,,
