data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,15497,Puerto Rico Electric Pwr Authority,PR,1434,0
2024,19879,Virgin Islands Water & Power Authority,VI,21,21
2024,40428,Guam Power Authority,GU,67,
2024,40429,American Samoa Power Authority,AS,12,
2024,57105,Commonwealth Utility Corporation - (MP),MP,14,0
