data_year,utility_number,utility_name,state,ba_code,yearly_energy_and_demand_savings_number_of_customers_enrolled_residential,yearly_energy_and_demand_savings_number_of_customers_enrolled_commercial,yearly_energy_and_demand_savings_number_of_customers_enrolled_industrial,yearly_energy_and_demand_savings_number_of_customers_enrolled_transportation,yearly_energy_and_demand_savings_number_of_customers_enrolled_total,yearly_energy_and_demand_savings_energy_savings_mwh_residential,yearly_energy_and_demand_savings_energy_savings_mwh_commercial,yearly_energy_and_demand_savings_energy_savings_mwh_industrial,yearly_energy_and_demand_savings_energy_savings_mwh_transportation,yearly_energy_and_demand_savings_energy_savings_mwh_total,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_potential_peak_demand_savings_mw_total,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_residential,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_commercial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_industrial,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_transportation,yearly_energy_and_demand_savings_actual_peak_demand_savings_mw_total,program_costs_customer_incentives_thousand_dollars_residential,program_costs_customer_incentives_thousand_dollars_commercial,program_costs_customer_incentives_thousand_dollars_industrial,program_costs_customer_incentives_thousand_dollars_transportation,program_costs_customer_incentives_thousand_dollars_total,program_costs_all_other_costs_thousand_dollars_residential,program_costs_all_other_costs_thousand_dollars_commercial,program_costs_all_other_costs_thousand_dollars_industrial,program_costs_all_other_costs_thousand_dollars_transportation,program_costs_all_other_costs_thousand_dollars_total,dsm_program_grid_connected_water_heater
2024,19547,Hawaiian Electric Co Inc,HI,HECO,28871,229,0,0,29100,1555.629,919.02,0,0,2474.649,34.773,13.166,0,0,47.939,0,0,0,0,0,2581,1613,0,0,4194,929,392,0,0,1321,
2024,19728,"UNS Electric, Inc",AZ,TEPC,,29,,,29,,,,,,,4.559,,,4.559,,4.559,,,4.559,,,,,,,,,,,
2024,19790,Verendrye Electric Coop Inc,ND,MISO,3416,380,0,0,3796,,,,,,15.4,1.7,0,0,17.1,5.2,0.6,0,0,5.8,103,11.4,0,0,114.4,4.5,0.5,0,0,5,
2024,19798,City of Vernon,CA,CISO,,,1,,1,,,0,,0,,,21,,21,,,0,,0,,,4184.99,,4184.99,,,,,,
2024,19806,"Victoria Electric Coop, Inc",TX,ERCO,0,0,18,0,18,0,0,0,0,0,0,0,6.959,0,6.959,0,0,3.855,0,3.855,0,0,46.994,0,46.994,0,0,0,0,0,0
2024,19876,Virginia Electric & Power Co,NC,PJM,728,,,,728,0,,,,0,0.594,,,,0.594,0.54,,,,0.54,13.942,,,,13.942,28.402,,,,28.402,0
2024,19876,Virginia Electric & Power Co,VA,PJM,42403,21,,,42424,0,0,,,0,33.326,5.78,,,39.106,30.364,5.247,,,35.611,721.565,247.625,,,969.19,734.963,43.818,,,778.781,0
2024,19896,City of Volga - (SD),SD,SWPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
2024,19951,City of Wadsworth - (OH),OH,PJM,244,,,,244,2.8,,,,2.8,1,,,,1,1,,,,1,,,,,,,,,,,
2024,19981,Wake Electric Membership Corp,NC,CPLE,,4,1,,5,,0.018,0.542,,0.56,,0.569,7.28,,7.849,,0.569,7.28,,7.849,,0.001,0.001,,0.002,,0.001,0.001,,0.002,
2024,20401,West River Electric Assn Inc,SD,SWPP,5483,,,,5483,,,,,,53.223,,,,53.223,37.41,,,,37.41,36,,,,36,57,,,,57,182
2024,20404,AEP Texas North Company,TX,ERCO,,75,,,75,,1,,,1,,1.2,,,1.2,,1.2,,,1.2,,38,,,38,,7,,,7,
2024,20472,"Wharton County Elec Coop, Inc",TX,ERCO,881,31,10,,922,,,,,,2.95,5.19,21.32,,29.46,2.95,2.357,11.15,,16.457,134.99,89.99,,,224.98,250.29,166.86,,,417.15,
2024,20477,City of Westerville - (OH),OH,PJM,1195,,,,1195,13.272,,,,13.272,1.33,,,,1.33,1.076,,,,1.076,8.2,,,,8.2,25.2,,,,25.2,
2024,20521,Wheeling Power Co,WV,PJM,111,,,,111,1,,,,1,0.1,,,,0.1,,,,,,7,,,,7,10,,,,10,
2024,20603,Northeastern Rural E M C,IN,PJM,1622,,,,1622,0,,,,0,2.556,,,,2.556,1.386,,,,1.386,101.05,,,,101.05,74.337,,,,74.337,
2024,20639,"Wild Rice Electric Coop, Inc",MN,MISO,6556,149,1,,6706,1009.298,70.261,32.729,,1112.288,117.947,8.215,3.822,,129.984,31.979,2.227,1.036,,35.242,2320.74,260.598,140.985,,2722.323,133.183,9.303,4.726,,147.212,
2024,20841,"Wiregrass Electric Coop, Inc",AL,SOCO,277,,,,277,,,,,,0.377,,,,0.377,,,,,,,,,,,,,,,,
2024,20847,Wisconsin Electric Power Co,WI,MISO,,28,48,,76,,,,,,,29.06,402.932,,431.992,,,,,,,,,,,,,,,,
2024,20856,Wisconsin Power & Light Co,WI,MISO,10210,,117,,10327,196.234,,0,,196.234,16.836,,132.826,,149.662,,,,,,441.5,,7922.855,,8364.355,864.986,,0,,864.986,
2024,20963,Woodruff Electric Coop Corp,AR,MISO,336,,3677,,4013,,,,,,1.5,,90,,91.5,0.49,,53.2,,53.69,9.652,,5600,,5609.652,1.24,,89,,90.24,
2024,21002,York Electric Coop Inc,SC,DUK,5948,,,,5948,,,,,,25,,,,25,6.2,,,,6.2,146,,,,146,1615,,,,1615,
2024,21013,City of Worthington - (MN),MN,MISO,2364,,,,2364,,,,,,7.092,,,,7.092,2.364,,,,2.364,0,,,,0,0,,,,0,
2024,21111,Perennial Public Power Dist,NE,SWPP,,,1546,,1546,,,25.699,,25.699,,,0.062,,0.062,,,0.062,,0.062,,,,,,,,,,,
2024,21244,"Southside Electric Coop, Inc",VA,PJM,1271,,,,1271,2.637,,,,2.637,2.693,,,,2.693,2.637,,,,2.637,,,,,,13.298,,,,13.298,
2024,21554,Seminole Electric Cooperative Inc,FL,SEC,8307,,6,,8313,307.4,,,,307.4,15.1,,,,15.1,7.9,,,,7.9,186.3,,,,186.3,224.4,,,,224.4,
2024,21632,EnergyUnited Elec Member Corp,NC,DUK,11000,150,5,,11155,320,260,140,,720,9,8,4,,21,9,7,3,,19,,,,,,,,,,,
2024,22053,Kentucky Power Co,KY,PJM,0,0,4,0,4,0,0,0,0,0,0,0,3.4,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,22500,"Evergy Kansas Central, Inc",KS,SWPP,24433,785,1,,25219,213.954,,,,213.954,9.044,6.664,,,15.708,8.987,5.236,,,14.223,370.19,240.25,,,610.44,410.76,340.83,,,751.59,
2024,24211,Tucson Electric Power Co,AZ,TEPC,14888,16,,,14904,96,2,,,98,29.09,1.03,,,30.12,29.09,1.03,,,30.12,1039,97,,,1136,1364,13,,,1377,
2024,24590,Unitil Energy Systems,NH,ISNE,690,20,,,710,0,0,,,0,0.53,2.72,,,3.25,0.53,2.72,,,3.25,30.315,80.652,,,110.967,46.631,27.532,,,74.163,
2024,24949,Cass County Elec Coop Inc,ND,MISO,8342,416,467,0,9225,7467.2,2602.5,1042.5,0,11112.2,266.1,128.4,51.4,0,445.9,71.8,34.7,13.9,0,120.4,66.05,0,0,0,66.05,549.5,27.4,31,0,607.9,53
2024,30518,Electrical Dist No3 Pinal County,AZ,AZPS,247,,,,247,7.666,,,,7.666,1,,,,1,0.274,,,,0.274,12.35,,,,12.35,,,,,,
2024,40051,Texas-New Mexico Power Co,TX,ERCO,,144,,,144,,9.879,,,9.879,,11.497,,,11.497,,9.879,,,9.879,,295.19,,,295.19,,49.939,,,49.939,
2024,40165,"Dixie Escalante R E A, Inc",UT,PACE,,244,,,244,,434.4,,,434.4,,28.112,,,28.112,,14.05,,,14.05,,678.671,,,678.671,,65.34,,,65.34,
2024,40211,"Wabash Valley Power Assn, Inc",IL,MISO,2007,,1,,2008,,,,,,1.579,,0.031,,1.61,,,,,,142.14,,2.44,,144.58,33.06,,0.16,,33.22,
2024,40211,"Wabash Valley Power Assn, Inc",IN,PJM,,,96,,96,,,,,,,,7.384,,7.384,,,6.1,,6.1,,,494.41,,494.41,,,22.92,,22.92,
2024,40211,"Wabash Valley Power Assn, Inc",IN,MISO,14760,9,790,,15559,,,,,,7.8,3.5,41.8,,53.1,1.4,3.5,21.5,,26.4,665.63,251.11,3223.31,,4140.05,102.19,0.37,6.12,,108.68,
2024,40211,"Wabash Valley Power Assn, Inc",MO,MISO,126,1,,,127,,,,,,0.1,0.1,,,0.2,,0.1,,,0.1,12.52,,,,12.52,24.36,,,,24.36,
2024,40212,Colquitt Electric Membership Corp,GA,SOCO,,5,2308,,2313,,3.751,991.541,,995.292,,0.398,89.332,,89.73,,0.398,89.2,,89.598,,,,,,,9,78,,87,
2024,40228,Rappahannock Electric Coop,VA,PJM,10383,41,,,10424,113.8,0,,,113.8,21.2,0,,,21.2,21.2,0,,,21.2,142.859,,,,142.859,,,,,,
2024,44372,Oncor Electric Delivery Company LLC,TX,ERCO,83334,896,,,84230,192.778,280.208,,,472.986,64.259,93.403,,,157.662,64.259,93.403,,,157.662,2331.953,3499.534,,,5831.487,275.032,389.282,,,664.314,
2024,54913,NSTAR Electric Company,MA,ISNE,57427,464,,,57891,,,,,,50.42,31.57,,,81.99,50.42,31.57,,,81.99,4.123,3.892,,,8.015,3.209,1.188,,,4.397,
2024,55937,Entergy Texas Inc.,TX,MISO,1690,185,5,,1880,7.693,50.496,,,58.189,2.564,8.831,86.7,,98.095,2.564,8.831,,,11.395,397.462,287.132,,,684.594,12.849,30.493,,,43.342,
2024,57346,Efficiency Maine Trust,ME,ISNE,149,176,,,325,,,,,,0.009,15.04,,,15.049,0.009,11.492,,,11.501,4.85,402.214,,,407.064,3.737,309.929,,,313.666,
2024,58127,Cape Light Compact,MA,ISNE,2813,15,,,2828,,,,,,5.04,1.8,,,6.84,5.04,1.43,,,6.47,299.71,521.51,,,821.22,264.3,169.99,,,434.29,0
2024,59126,Sonoma Clean Power Authority,CA,CISO,11457,0,0,0,11457,102.97,0,0,0,102.97,4,0,0,0,4,2.5,0,0,0,2.5,297.301,0,0,0,297.301,402.685,0,0,0,402.685,0
2024,60631,Upper Michigan Energy Resources Corp.,MI,MISO,,,5,,5,,,,,,,,204,,204,,,,,,,,,,,,,,,,
2024,61131,Freepoint Energy Solutions LLC,PA,PJM,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,
2024,64195,Desert Community Energy,CA,CISO,887,,,,887,14.865,,,,14.865,,,,,,,,,,,,,,,,,,,,,
2024,66073,MPD Electric Cooperative,SC,SC,,2,6,,8,,,,,,,33.1,9.9,,43,,32.7,1.1,,33.8,,,,,,,,,,,
2024,66867,David Energy Supply LLC,NY,NYIS,,313,,,313,,33,,,33,,3.4,,,3.4,,2.024,,,2.024,,376.806,,,376.806,,0,,,0,
