data_year,utility_number,utility_name,ownership,short_form,state,ba_code,number_amr_automated_meter_reading_residential,number_amr_automated_meter_reading_commercial,number_amr_automated_meter_reading_industrial,number_amr_automated_meter_reading_transportation,number_amr_automated_meter_reading_total,number_ami_advanced_metering_infrastructure_residential,number_ami_advanced_metering_infrastructure_commercial,number_ami_advanced_metering_infrastructure_industrial,number_ami_advanced_metering_infrastructure_transportation,number_ami_advanced_metering_infrastructure_total,number_home_area_network_residential,number_home_area_network_commercial,number_home_area_network_industrial,number_home_area_network_transportation,number_home_area_network_total,number_standard_non_amr_ami_meters_residential,number_standard_non_amr_ami_meters_commercial,number_standard_non_amr_ami_meters_industrial,number_standard_non_amr_ami_meters_transportation,number_standard_non_amr_ami_meters_total,total_numbers_of_meters_residential,total_numbers_of_meters_commercial,total_numbers_of_meters_industrial,total_numbers_of_meters_transportation,total_numbers_of_meters_total,energy_served_ami_mwh_residential,energy_served_ami_mwh_commercial,energy_served_ami_mwh_industrial,energy_served_ami_mwh_transportation,energy_served_ami_mwh_total,customers_with_daily_digital_access_residential,customers_with_daily_digital_access_commercial,customers_with_daily_digital_access_industrial,customers_with_daily_digital_access_transportation,customers_with_daily_digital_access_total,customers_with_direct_load_control_residential,customers_with_direct_load_control_commercial,customers_with_direct_load_control_industrial,customers_with_direct_load_control_transportation,customers_with_direct_load_control_total
2024,15497.0,Puerto Rico Electric Pwr Authority,State,,PR,NA,1354356,110149,220,0,1464725,19761,312,0,0,20073,,,,,,9657,17029,363,0,27049,1383774.0,127490.0,583.0,0.0,1511847.0,95386,20336,,,115722,,,,,,,,,,
2024,19879.0,Virgin Islands Water & Power Authority,State,,VI,NA,,,,,,43821,7368,2286,,53475,,,,,,435,547,,,982,44256.0,7915.0,2286.0,0.0,54457.0,263863,138126,209582,,611571,,,,,,,,,,
2024,40428.0,Guam Power Authority,State,,GU,NA,,,,,,45875,6677,,,52552,,,,,,25,50,,,75,45900.0,6727.0,0.0,0.0,52627.0,537573,660243,,,1197816,8320,1826,,,10146,,,,,
2024,40429.0,American Samoa Power Authority,State,,AS,NA,,,,,,,,,,,,,,,,10998,1674,12,,12684,10998.0,1674.0,12.0,0.0,12684.0,,,,,,,,,,,,,,,
2024,57105.0,Commonwealth Utility Corporation - (MP),State,,MP,NA,,,,,0,,,,,,,,,,,13052,4503,,,17555,13052.0,4503.0,0.0,0.0,17555.0,,,,,,,,,,,,,,,
2024,57313.0,Tesla Inc.,Behind the Meter,,PR,NA,,13,,,13,,0,,,0,,,,,,,,,,,0.0,13.0,0.0,0.0,13.0,,,,,,,,,,,,,,,
2024,59647.0,Sunrun Inc.,Behind the Meter,,PR,NA,,,,,,36221,,,,36221,,,,,,,,,,,36221.0,0.0,0.0,0.0,36221.0,198696.77,,,,198696.77,,,,,,,,,,
2024,60981.0,"TerraForm US Energy Services, LLC",Behind the Meter,,PR,NA,,,,,,,,,,,,,,,,,5,,,5,0.0,5.0,0.0,0.0,5.0,,,,,,,,,,,,,,,
"Note- Meters for the 'Behind the Meter' utilities are not counted in the US or state totals.
 State level adjustments are comprised of imputation for 861S Non AMR/AMI or standard meters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
