data_year,utility_number,utility_name,short_form,state,ba_code,number_of_customers_enrolled_residential,number_of_customers_enrolled_commercial,number_of_customers_enrolled_industrial,number_of_customers_enrolled_transportation,number_of_customers_enrolled_total,types_of_program_time_of_use_pricing_residential,types_of_program_time_of_use_pricing_commercial,types_of_program_time_of_use_pricing_industrial,types_of_program_time_of_use_pricing_transportation,types_of_program_real_time_pricing_residential,types_of_program_real_time_pricing_commercial,types_of_program_real_time_pricing_industrial,types_of_program_real_time_pricing_transportation,types_of_program_variable_peak_pricing_residential,types_of_program_variable_peak_pricing_commercial,types_of_program_variable_peak_pricing_industrial,types_of_program_variable_peak_pricing_transportation,types_of_program_critical_peak_pricing_residential,types_of_program_critical_peak_pricing_commercial,types_of_program_critical_peak_pricing_industrial,types_of_program_critical_peak_pricing_transportation,types_of_program_critical_peak_rebate_residential,types_of_program_critical_peak_rebate_commercial,types_of_program_critical_peak_rebate_industrial,types_of_program_critical_peak_rebate_transportation
2024,5862,"Empire Electric Assn, Inc",,CO,WACM,12899,2824,138,,15861,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,5862,"Empire Electric Assn, Inc",,UT,WACM,946,352,5,,1303,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,5961,Town of Erwin - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,5964,"Escambia River Elec Coop, Inc",,FL,SOCO,,8,,,8,,Y,,,,,,,,,,,,,,,,,,
2024,5997,Town of Estes Park,Y,CO,PSCO,445,33,,,478,,,,,,,,,,,,,,,,,,,,
2024,6008,City of Etowah,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,6043,City of Evansville,,WI,MISO,85,21,2,0,108,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,6112,"Farmers Electric Coop, Inc - (IA)",Y,IA,MISO,,,1,,1,,,,,,,,,,,,,,,,,,,,
2024,6182,"Farmers Electric Coop, Inc - (TX)",,TX,ERCO,,,13,,13,,,,,,,Y,,,,,,,,,,,,,
2024,6234,City of Fayetteville,,TN,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2024,6235,Fayetteville Public Works Commission,,NC,CPLE,75987,9426,22,0,85435,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,6258,Federated Rural Electric Assn,,MN,MISO,1,0,0,0,1,Y,,,,,,,,,,,,,,,,,,,
2024,6374,Fitchburg Gas & Elec Light Co,,MA,ISNE,,2,30,,32,,Y,Y,,,,,,,,,,,,,,,,,
2024,6395,Flathead Electric Coop Inc,,MT,BPAT,63021,,97,,63118,Y,,Y,,,,,,,,,,,,,,,,,
2024,6411,Flint Electric Membership Corp,,GA,SOCO,206,267,,,473,Y,Y,,,,Y,,,,,,,,Y,,,,Y,,
2024,6422,City of Florence - (AL),,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2024,6424,Florence Utility Comm,,WI,MISO,0,3,0,0,3,,Y,,,,,,,,,,,,,,,,,,
2024,6431,"Flint Hills Rural E C A, Inc",Y,KS,SWPP,745,22,15,,782,,,,,,,,,,,,,,,,,,,,
2024,6442,Fleming-Mason Energy Coop Inc,,KY,PJM,24,,,,24,Y,,,,,,,,,,,,,,,,,,,
2024,6455,"Duke Energy Florida, LLC",,FL,FPC,1222,17448,413,0,19083,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,6457,Florida Public Utilities Co,,FL,JEA,6,1,0,0,7,Y,Y,,,,,,,,,,,,,,,,,,
2024,6604,City of Fort Collins - (CO),,CO,PSCO,70656,,,,70656,Y,,,,,,,,,,,,,,,,,,,
2024,6608,Fort Loudoun Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2024,6612,Fort Payne Improvement Authority,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2024,6638,City of Fountain,,CO,PSCO,,63,,,63,,Y,,,,,,,,,,,,,,,,,,
2024,6640,Four County Elec Member Corp,,NC,CPLE,15,,,,15,Y,,,,,,,,,,,,,,,,,,,
2024,6641,4-County Electric Power Assn,,MS,TVA,0,1037,5,0,1042,,Y,Y,,,,,,,,,,,,,,,,,
2024,6709,Easley Combined Utility System,,SC,DUK,105,4,1,,110,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,6711,Village of Frankfort - (NY),Y,NY,NYIS,1655,138,39,,1832,,,,,,,,,,,,,,,,,,,,
2024,6717,Franklin Electric Coop - (AL),,AL,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2024,6718,City of Franklin - (KY),,KY,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2024,6782,Freeborn Mower Electric Cooperative,,MN,MISO,2,29,10,0,41,Y,Y,Y,,,,,,,Y,Y,,,Y,Y,,,,,
2024,6909,Gainesville Regional Utilities,,FL,GVL,,26,,,26,,Y,,,,,,,,,,,,,,,,,,
2024,6923,City of Gallatin - (TN),,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2024,6957,"Garkane Energy Coop, Inc",,AZ,WALC,5,0,,,5,Y,Y,,,,,,,,,,,,,,,,,,
2024,6957,"Garkane Energy Coop, Inc",,UT,WACM,475,22,,,497,Y,Y,,,,,,,,,,,,,,,,,,
2024,7027,City of Gastonia - (NC),,NC,DUK,,51,15,,66,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2024,7096,City of Geneva- (IL),,IL,PJM,,,5,,5,,,Y,,,,,,,,,,,,,,,,,
2024,7140,Georgia Power Co,,GA,SOCO,81343,13588,1701,1,96633,Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,
2024,7174,Gibson Electric Members Corp,,KY,TVA,0,86,0,0,86,,Y,,,,,,,,,,,,,,,,,,
2024,7174,Gibson Electric Members Corp,,TN,TVA,0,423,2,0,425,,Y,Y,,,,,,,,,,,,,,,,,
2024,7264,"Glades Electric Coop, Inc",,FL,SEC,2,2,18,,22,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,7270,City of Glasgow - (KY),,KY,TVA,5644,1933,0,0,7577,Y,Y,,,,,,,,,,,,,,,,,,
2024,7279,"NextEra Energy Services, LLC",,DE,PJM,,1,,,1,,,,,,Y,,,,,,,,,,,,,,
2024,7279,"NextEra Energy Services, LLC",,IL,MISO,,7,,,7,,,,,,Y,,,,,,,,,,,,,,
2024,7279,"NextEra Energy Services, LLC",,NJ,PJM,,1,,,1,,,,,,Y,,,,,,,,,,,,,,
2024,7279,"NextEra Energy Services, LLC",,OH,PJM,,3,,,3,,,,,,Y,,,,,,,,,,,,,,
2024,7279,"NextEra Energy Services, LLC",,PA,PJM,,3,,,3,,,,,,Y,,,,,,,,,,,,,,
2024,7294,City of Glendale - (CA),,CA,LDWP,221,334,11,,566,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,7483,City of Grand Haven - (MI),,MI,MISO,,17,33,,50,,Y,Y,,,,,,,,,,,,,,,,,
2024,7489,Grand Rapids Public Util Comm,Y,MN,MISO,3,6,0,0,9,,,,,,,,,,,,,,,,,,,,
2024,7490,Grand River Dam Authority,,OK,SWPP,,,1,,1,,,Y,,,,,,,,,,,,,,,,,
2024,7496,Town of Granite Falls - (NC),Y,NC,DUK,,7,2,,9,,,,,,,,,,,,,,,,,,,,
2024,7558,Grayson Rural Electric Coop Corp,,KY,PJM,,26,,,26,,Y,,,,,,,,,,,,,,,,,,
2024,7563,Grand Valley Power,,CO,PSCO,17268,1689,1,,18958,Y,Y,,,,,,,,,,,,,Y,,,,,
2024,7601,Green Mountain Power Corp,,VT,ISNE,7790,3687,74,,11551,Y,Y,Y,,,,,,,,,,Y,Y,Y,,,Y,Y,
2024,7625,City of Greeneville - (TN),,TN,TVA,0,2,7,0,9,,Y,Y,,,,,,,,,,,,,,,,,
2024,7634,City of Greenville - (TX),,TX,ERCO,0,88,,,88,,Y,,,,,,,,,,,,,,,,Y,,
2024,7715,Town of Groton - (MA),Y,MA,ISNE,4374,0,0,0,4374,,,,,,,,,,,,,,,,,,,,
2024,7752,Guadalupe Valley Elec Coop Inc,,TX,ERCO,28,,2,,30,Y,,,,,,Y,,,,,,,,,,,,,
2024,7787,Gunnison County Elec Assn.,Y,CO,WACM,115,4,,,119,,,,,,,,,,,,,,,,,,,,
2024,7826,City of Gunnison - (CO),Y,CO,WACM,19,,,,19,,,,,,,,,,,,,,,,,,,,
2024,7827,Guntersville Electric Board,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,7977,City of Hamilton - (OH),,OH,PJM,0,0,1,0,1,,,,,,,,,,,,,,,,,,,Y,
2024,8000,NineStar Connect,,IN,MISO,17770,,,,17770,Y,,,,,,,,,,,,,,,,,,,
2024,8034,Hancock-Wood Electric Coop Inc,,OH,PJM,11231,2321,12,,13564,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,8122,Harlan Municipal Utilities - (IA),Y,IA,MISO,2326,376,164,,2866,,,,,,,,,,,,,,,,,,,,
2024,8147,City of Harriman - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,8179,Harrison County Rural E M C,,IN,MISO,210,,,,210,Y,,,,,,,,,,,,,,,,,,,
2024,8212,Hartford Electric,,WI,MISO,60,30,7,0,97,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,8226,City of Hartselle,,AL,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2024,8287,Hawaii Electric Light Co Inc,,HI,NA,6571,1169,1,,7741,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,8319,Heartland Power Coop,,IA,MISO,8,55,10,,73,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,8333,Haywood Electric Member Corp,,NC,DUK,35,23,1,,59,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,8348,City of Healdsburg - (CA),Y,CA,CISO,132,11,0,0,143,,,,,,,,,,,,,,,,,,,,
2024,8366,Heber Light & Power Company,Y,UT,PACE,552,,,,552,,,,,,,,,,,,,,,,,,,,
2024,8447,Hendricks County Rural E M C,,IN,MISO,37638,1047,5,,38690,Y,Y,,,,,,,,,,,,,Y,,,,,
2024,8566,High Plains Power Inc,,WY,WACM,400,,,,400,Y,,,,,,,,,,,,,,,,,,,
2024,8570,Highline Electric Assn,,CO,WACM,7,,,,7,Y,,,,,,,,,,,,,,,,,,,
2024,8571,Town of High Point,,NC,DUK,0,185,17,0,202,,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2024,8574,"Jackson Electric Coop, Inc - (WI)",Y,WI,MISO,7740,193,13,,7946,,,,,,,,,,,,,,,,,,,,
2024,8699,Inland Power & Light Company,,WA,BPAT,,,164,,164,,,Y,,,,,,,,,,,,,,,,,
2024,8723,City of Holland,,MI,MISO,121,907,,,1028,Y,Y,,,,,,,,,,,,,,,,,,
2024,8764,"Holston Electric Coop, Inc",,TN,TVA,0,0,5,0,5,,,Y,,,,,,,,,,,,,,,,,
2024,8773,"Holy Cross Electric Assn, Inc",,CO,PSCO,62,30,,,92,Y,Y,,,,,,,,,,,,,,,,,,
2024,8846,City of Hopkinsville,,KY,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2024,8911,Howard Electric Coop,Y,MO,AECI,3557,,,,3557,,,,,,,,,,,,,,,,,,,,
2024,9023,City of Humboldt,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2024,9087,Town of Huntersville - (NC),,NC,DUK,,,2,,2,,,Y,,,,,,,,,,,,,,,,,
2024,9094,City of Huntsville - (AL),,AL,TVA,0,11,7,0,18,,Y,Y,,,,,,,,,,,,,,,,,
2024,9124,Hustisford Utilities,,WI,MISO,6,9,0,0,15,Y,Y,,,,,,,,,,,,,,,,,,
2024,9191,Idaho Power Co,,ID,IPCO,992,298,134,0,1424,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9191,Idaho Power Co,,OR,IPCO,5,9,6,0,20,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9209,Illinois Rural Electric Coop,Y,IL,PJM,,143,,,143,,,,,,,,,,,,,,,,,,,,
2024,9230,City of Independence - (IA),,IA,MISO,0,16,1,0,17,,Y,Y,,,,,,,,,,,,,,,,,
2024,9246,"Indian Electric Coop, Inc",,OK,SWPP,,1,,,1,,Y,,,,,,,,,,,,,,,,,,
2024,9273,AES Indiana,,IN,MISO,185,18,4,0,207,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9275,Indianola Municipal Utilities,Y,IA,MISO,25,,,,25,,,,,,,,,,,,,,,,,,,,
2024,9324,Indiana Michigan Power Co,,IN,PJM,14098,2184,46,0,16328,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9324,Indiana Michigan Power Co,,MI,PJM,5429,431,73,,5933,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9336,CORE Electric Cooperative,,CO,PSCO,99,569,12,,680,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9417,Interstate Power and Light Co,,IA,MISO,17217,4707,82,,22006,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9475,Itasca-Mantrap Co-op Electrical Assn,,MN,MISO,11,3,2,,16,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9576,Jackson County Rural E M C - (IN),,IN,MISO,26,1,,,27,Y,Y,,,,,,,,,,,,,,,,,,
2024,9601,Jackson Electric Member Corp - (GA),,GA,SOCO,1325,366,,,1691,Y,Y,,,,,,,,,,,,,,,,,,
2024,9612,City of Jackson - (TN),,TN,TVA,0,4,14,0,18,,Y,Y,,,,,,,,,,,,,,,,,
2024,9617,JEA,,FL,JEA,,224,8,,232,,Y,Y,,,,,,,,,,,,,,,,,
2024,9682,"Jefferson Davis Elec Coop, Inc",,LA,MISO,0,12,2,,14,,Y,Y,,,,,,,,,,,,,,,,,
2024,9690,Jefferson Utilities,,WI,MISO,0,21,1,0,22,,Y,Y,,,,,,,,,,,,,,,,,
2024,9699,"Jemez Mountains Elec Coop, Inc",,NM,WALC,245,30,,,275,Y,Y,,,,,,,,,,,,,,,,,,
2024,9726,Jersey Central Power & Lt Co,,NJ,PJM,13233,205,58,0,13496,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
2024,9739,Joe Wheeler Elec Member Corp,,AL,TVA,0,1,21,0,22,,Y,Y,,,,,,,,,,,,,,,,,
2024,9750,"Jo-Carroll Energy, Inc",,IL,MISO,,,13,,13,,,Y,,,,,,,,,,,,,,,,,
2024,9777,Johnson City - (TN),,TN,TVA,0,6,8,0,14,,Y,Y,,,,,,,,,,,,,,,,,
2024,9778,Johnson County Rural E M C,,IN,MISO,27538,439,3,,27980,Y,Y,Y,,,,,,,,,,,,,,,,Y,
2024,9936,Juneau Utility Comm,,WI,MISO,1,17,2,0,20,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,9991,Kandiyohi Power Coop,Y,MN,MISO,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,
2024,10000,Evergy Metro,,KS,SWPP,3904,14313,,,18217,Y,Y,,,,,,,,,,,,,,,,,,
2024,10000,Evergy Metro,,MO,SWPP,245547,8,,,245555,Y,Y,,,,Y,,,,,,,,,,,,,,
2024,10005,"Evergy Kansas South, Inc",,KS,SWPP,828,264,25,,1117,Y,Y,,,,,,,,,,,,,,,,Y,Y,
2024,10019,FreeState Electric Coop,,KS,SWPP,592,5,0,0,597,Y,Y,,,,,,,,,,,,,,,,,,
2024,10056,City of Kaukauna,,WI,MISO,51,122,13,0,186,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,10171,Kentucky Utilities Co,,KY,LGEE,108,4591,797,,5496,Y,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2024,10171,Kentucky Utilities Co,,VA,LGEE,,181,20,,201,,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2024,10226,"Utility Board of the City of Key West, F",,FL,FMPP,13,3,,,16,Y,Y,,,,,,,,,,,,,,,,,,
2024,10243,City of Kiel - (WI),Y,WI,MISO,7,5,25,,37,,,,,,,,,,,,,,,,,,,,
2024,10331,Kingsport Power Co,,TN,PJM,41,7,,,48,Y,Y,,,,,,,,,,,,,,,,,,
2024,10345,City of Kinston - (NC),,NC,CPLE,7,44,,,51,Y,Y,,,,,,,,,,,,,,,,,,
2024,10376,Kissimmee Utility Authority,,FL,FMPP,0,47,0,0,47,,Y,,,,,,,,,,,,,,,,,,
2024,10378,"Kit Carson Electric Coop, Inc",,NM,PNM,522,75,,,597,Y,Y,,,,,,,,,,,,,,,,,,
2024,10393,PUD No 1 of Klickitat County,,WA,BPAT,,,78,,78,,,Y,,,,,,,,,,,,,,,,,
2024,10421,Knoxville Utilities Board,,TN,TVA,76,369,9,0,454,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,10448,Kosciusko County Rural E M C,,IN,MISO,,,6,,6,,,Y,,,,,,,,,,,,,,,,,
2024,10539,"La Plata Electric Assn, Inc",,CO,WACM,4754,349,13,,5116,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2024,10579,City of LaFollette,,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2024,10599,"Lake Region Electric Coop, Inc - (OK)",,OK,AECI,,3,1,,4,,Y,Y,,,,,,,,,,,,,,,,,
2024,10605,Lake Mills Light & Water,,WI,MISO,11,18,0,0,29,Y,Y,,,,,,,,,,,,,,,,,,
2024,10618,Lake Region Electric Cooperative - (MN),,MN,MISO,11,,,,11,Y,,,,,,,,,,,,Y,,,,,,,
2024,10623,City of Lakeland - (FL),,FL,FMPP,1736,86,1,,1823,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,10702,Borough of Lansdale,Y,PA,PJM,,,1,,1,,,,,,,,,,,,,,,,,,,,
2024,10704,City of Lansing - (MI),,MI,MISO,82543,124,13,0,82680,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,10768,"Laurens Electric Coop, Inc",,SC,DUK,5,48,,,53,Y,Y,,,,,,,,,,,,,,,,,,
2024,10770,City of Laurinburg - (NC),Y,NC,CPLE,15,0,0,0,15,,,,,,,,,,,,,,,,,,,,
2024,10799,City of Lawrenceburg,,TN,TVA,0,1,8,0,9,,Y,Y,,,,,,,,,,,,,,,,,
2024,10814,City of Le Sueur - (MN),Y,MN,MISO,,,11,,11,,,,,,,,,,,,,,,,,,,,
2024,10906,City of Lenoir - (TN),,TN,TVA,0,2,3,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2024,10960,City of Lewisburg - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2024,10962,Lewis County Rural E C A,Y,MO,AECI,,3,,,3,,,,,,,,,,,,,,,,,,,,
2024,10968,City of Lexington - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2024,11018,Lincoln Electric System,,NE,SWPP,,7,,,7,,Y,,,,,,,,,,,,,,,,,,
2024,11053,Linn County REC,,IA,MISO,30323,4214,197,,34734,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11085,Town of Littleton - (MA),,MA,ISNE,,,49,,49,,,Y,,,,,,,,,,,,,,,,,
2024,11124,City of Lodi - (CA),,CA,CISO,,,23,,23,,,Y,,,,,,,,,,,,,,,,,
2024,11125,City of Lodi - (WI),,WI,MISO,14,8,0,0,22,Y,Y,,,,,,,,,,,,,,,,,,
2024,11171,Long Island Power Authority,,NY,NYIS,45895,860,,,46755,,,,,,,,,,,,,,,,,Y,Y,,
2024,11187,City of Longmont,,CO,PSCO,,,13,,13,,,,,,,,,,,,,,,Y,,,,,
2024,11200,"Lorain-Medina R E C, Inc",,OH,PJM,15234,1594,3,,16831,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11208,Los Angeles Department of Water & Power,,CA,LDWP,14400,22283,1258,,37941,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11222,Loudon Utilities Board,,TN,TVA,0,2,6,0,8,,Y,Y,,,,,,,,,,,,,,,,,
2024,11241,Entergy Louisiana LLC,,LA,MISO,,1,7,,8,,Y,Y,,,,,,,,,,,,,,,,,
2024,11247,Louisville Electric System,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,11249,Louisville Gas & Electric Co,,KY,LGEE,140,2986,336,0,3462,Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2024,11251,Loup River Public Power Dist,,NE,SWPP,,,1,,1,,,Y,,,,Y,,,,,,,,,,,,,
2024,11268,City of Lowell - (MI),Y,MI,MISO,5,0,0,0,5,,,,,,,,,,,,,,,,,,,,
2024,11479,Madison Gas & Electric Co,,WI,MISO,769,4474,19,,5262,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11515,Town of Maiden - (NC),Y,NC,DUK,0,2,12,0,14,,,,,,,,,,,,,,,,,,,,
2024,11571,Manitowoc Public Utilities,,WI,MISO,5,14,79,,98,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11714,Marshall-De Kalb Electric Coop,,AL,TVA,0,3,0,0,3,,Y,,,,,,,,,,,,,,,,,,
2024,11732,City of Marshall - (MO),Y,MO,SWPP,10,,,,10,,,,,,,,,,,,,,,,,,,,
2024,11740,City of Marshfield - (WI),,WI,MISO,1,,54,,55,Y,,Y,,,,,,,,,,,,,,,,,
2024,11770,City of Martinsville - (VA),Y,VA,PJM,,2,,,2,,,,,,,,,,,,,,,,,,,,
2024,11788,Consumers Energy Coop - (IA),,IA,MISO,179,26,3,0,208,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,11789,Maryville Utilities,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2024,11811,Town of Massena - (NY),,NY,NYIS,,,1,,1,,,Y,,,,,,,,,,,,,,,,,
2024,11824,Matanuska Electric Assn Inc,,AK,NA,28,,,,28,Y,,,,,,,,,,,,,,,,,,,
2024,11843,Maui Electric Co Ltd,,HI,NA,1211,83,,,1294,Y,Y,,,,,,,,,,,,,,,,,,
2024,11871,City of Mayfield Plant Board,,KY,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,11895,Village of Mazomanie - (WI),Y,WI,MISO,,,13,,13,,,,,,,,,,,,,,,,,,,,
2024,11910,McLeod Cooperative Power Assn,Y,MN,MISO,,,2,,2,,,,,,,,,,,,,,,,,,,,
2024,12199,Montana-Dakota Utilities Co,,MT,SWPP,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2024,12199,Montana-Dakota Utilities Co,,ND,MISO,4,342,8,0,354,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12199,Montana-Dakota Utilities Co,,SD,MISO,0,24,0,0,24,,Y,,,,,,,,,,,,,,,,,,
2024,12199,Montana-Dakota Utilities Co,,WY,WACM,0,9,0,0,9,,Y,,,,,,,,,,,,,,,,,,
2024,12208,City of McPherson - (KS),,KS,SWPP,,16,2,,18,,Y,Y,,,,,,,,,,,,,,,,,
2024,12260,Mecklenburg Electric Cooperative,,VA,PJM,,32,1,,33,,Y,Y,,,,,,,,,,,,,,,,,
2024,12265,City of Medford - (WI),Y,WI,MISO,3,43,7,,53,,,,,,,,,,,,,,,,,,,,
2024,12293,City of Memphis - (TN),,TN,TVA,61,0,41,0,102,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2024,12298,City of Menasha - (WI),,WI,MISO,40,123,8,0,171,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12330,Meriwether Lewis Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2024,12341,MidAmerican Energy Co,,IA,MISO,101,1075,169,0,1345,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12341,MidAmerican Energy Co,,IL,MISO,9,201,45,0,255,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12341,MidAmerican Energy Co,,SD,MISO,0,25,1,0,26,,Y,Y,,,,,,,,,,,,,,,,,
2024,12377,Midwest Energy Cooperative - (MI),,MI,PJM,114,28,,,142,Y,Y,,,,,,,,,,,,,,,,,,
2024,12450,Midland Power Coop,,IA,MISO,,9,12,,21,,,,,,,,,,,,,,Y,Y,,,,,
2024,12470,Middle Tennessee E M C,,TN,TVA,334,6,16,0,356,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12515,"Midwest Electric, Inc - (OH)",,OH,PJM,0,25,2,0,27,,,,,,,,,,,,,,Y,Y,,,Y,Y,
2024,12532,City of Milan - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,12539,Midwest Electric Member Corp - (NE),,NE,WACM,0,0,2186,0,2186,,,Y,,,,,,,,,,,,,,,,,
2024,12540,City of Milford - (DE),,DE,PJM,,,12,,12,,,Y,,,,,,,,,,,,,,,,,
2024,12546,Mille Lacs Energy Cooperative,,MN,MISO,,,23,,23,,,Y,,,,,,,,,,,,,,,,,
2024,12642,Maquoketa Valley Rrl Elec Coop,,IA,MISO,11051,6062,57,,17170,Y,Y,Y,,,,,,,,,,,,,,,,,
2024,12647,"ALLETE, Inc.",,MN,MISO,15596,,,,15596,Y,,,,,,,,,,,,,,,,,,,
2024,12651,Minnesota Valley Electric Coop,,MN,MISO,764,2,,,766,Y,Y,,,,,,,,,,,Y,,,,,,,
2024,12685,Entergy Mississippi LLC,,MS,MISO,,,83,,83,,,Y,,,,,,,,,,,,,,,,,
2024,12686,Mississippi Power Co,,MS,SOCO,,,4,,4,,,Y,,,,,,,,,,,,,,,,,
2024,12692,"Missoula Electric Coop, Inc",,ID,BPAT,46,21,,,67,Y,Y,,,,,,,,,,,,,,,,,,
2024,12692,"Missoula Electric Coop, Inc",,MT,BPAT,14685,1265,,,15950,Y,Y,,,,,,,,,,,,,,,,,,
2024,12698,Evergy Missouri West,,MO,SWPP,233540,10,,,233550,Y,Y,,,,,,,,,,,,,,,,,,
2024,12700,Missouri Rural Electric Coop,,MO,AECI,5049,,,,5049,Y,,,,,,,,,,,,,,,,,,,
2024,12745,Modesto Irrigation District,,CA,BANC,,11,139,,150,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,,
2024,12860,Morgan County Rural Elec Assn,,CO,WACM,18,,,,18,Y,,,,,,,,,,,,,,,,,,,
2024,12866,Moon Lake Electric Assn Inc,,UT,WACM,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2024,12929,South Central Indiana REMC,,IN,MISO,9,,,,9,Y,,,,,,,,,,,,,,,,,,,
2024,12988,City of Morristown - (TN),,TN,TVA,0,0,7,0,7,,,Y,,,,,,,,,,,,,,,,,
2024,13027,"Mountain Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2024,13036,Village of Mt. Horeb - (WI),,WI,MISO,37,11,0,0,48,Y,Y,,,,,,,,,,,,,,,,,,
2024,13039,City of Mt Pleasant - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2024,13050,"Mountain Parks Electric, Inc",,CO,WACM,463,30,0,0,493,Y,Y,Y,,,,,,,Y,Y,,,Y,Y,,,,,
2024,13058,"Mountain View Elec Assn, Inc",,CO,WACM,90,0,,,90,Y,Y,,,,,,,,,,,,,,,,,,
2024,13138,City of Murray - (KY),,KY,TVA,0,2,1,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2024,13144,City of Muscle Shoals,,AL,TVA,0,0,5,0,5,,,Y,,,,,,,,,,,,,,,,,
2024,13145,Village of Muscoda - (WI),,WI,MISO,0,9,3,0,12,,Y,Y,,,,,,,,,,,,,,,,,
2024,13216,Nashville Electric Service,,TN,TVA,0,25,22,0,47,,Y,Y,,,,,,,,,,,,,,,,,
