utility_characteristics_year,state,utility_number,utility_name,ba_code,photovoltaic_capacity_mw_type,photovoltaic_capacity_mw_residential,photovoltaic_capacity_mw_commercial,photovoltaic_capacity_mw_industrial,photovoltaic_capacity_mw_transportation,photovoltaic_capacity_mw_total,photovoltaic_installations_residential,photovoltaic_installations_commercial,photovoltaic_installations_industrial,photovoltaic_installations_transportation,photovoltaic_installations_total
2024,CO,99999.0,Adjustment 2024,WACM,,-0.563,-1.371,,,-1.934,,,,,
2024,CT,57313.0,Tesla Inc.,ISNE,DC,62.808,17.778,,,80.586,8464,848,,,9312
2024,CT,59086.0,"Constellation Solar Holding, LLC",ISNE,DC,0,0.48,0,0,0.48,0,1,0,0,1
2024,CT,59579.0,Sunnova,ISNE,DC,184.2,,,,184.2,21782,,,,21782
2024,CT,59580.0,"SunPower Capital, LLC",ISNE,AC,37.51,,,,37.51,3646,,,,3646
2024,CT,59647.0,Sunrun Inc.,ISNE,DC,156.577,,,,156.577,18721,,,,18721
2024,CT,59943.0,Spruce Finance,ISNE,AC,14.132,0,0,0,14.132,1842,0,0,0,1842
2024,CT,60025.0,Greenbacker Renewable Energy Corporation,ISNE,AC,0,0.8,0,0,0.8,0,3,0,0,3
2024,CT,60981.0,"TerraForm US Energy Services, LLC",ISNE,AC,,1.131,,,1.131,,6,,,6
2024,CT,61823.0,"Greenskies Renewable Energy, LLC",ISNE,DC,,51.596,,,51.596,,68,,,68
2024,CT,66026.0,"Palmetto Solar, LLC",ISNE,DC,5.507,,,,5.507,552,,,,552
2024,CT,66036.0,"EverBright, LLC",ISNE,AC,5.426,,,,5.426,847,,,,847
2024,CT,99999.0,Adjustment 2024,ISNE,,-71.346,-12.183,0,0,-83.528,,,,,
2024,DC,57313.0,Tesla Inc.,PJM,DC,2.35,0,,,2.35,506,0,,,506
2024,DC,59086.0,"Constellation Solar Holding, LLC",PJM,DC,0,1.02,0,0,1.02,0,2,0,0,2
2024,DC,59647.0,Sunrun Inc.,PJM,DC,0.375,,,,0.375,57,,,,57
2024,DC,99999.0,Adjustment 2024,PJM,,-0.475,-0.178,0,0,-0.653,,,,,
2024,DE,57313.0,Tesla Inc.,PJM,DC,30.792,0.501,,,31.293,3327,1,,,3328
2024,DE,59086.0,"Constellation Solar Holding, LLC",PJM,DC,0,0.82,1.06,0,1.88,0,1,1,0,2
2024,DE,59579.0,Sunnova,PJM,DC,0.27,,,,0.27,28,,,,28
2024,DE,59647.0,Sunrun Inc.,PJM,DC,3.11,,,,3.11,402,,,,402
2024,DE,65242.0,"Scale Sustainable I, LLC",PJM,DC,,0.024,,,0.024,,1,,,1
2024,DE,99999.0,Adjustment 2024,PJM,,-5.96,-0.235,-0.185,0,-6.379,,,,,
2024,FL,57313.0,Tesla Inc.,FMPP,DC,0.059,0,,,0.059,12,0,,,12
2024,FL,57313.0,Tesla Inc.,FPC,DC,2.658,0,,,2.658,436,0,,,436
2024,FL,57313.0,Tesla Inc.,FPL,DC,0.039,0,,,0.039,10,0,,,10
2024,FL,57313.0,Tesla Inc.,SEC,DC,0.582,0,,,0.582,245,0,,,245
2024,FL,57313.0,Tesla Inc.,SOCO,DC,0,1.842,,,1.842,0,267,,,267
2024,FL,59579.0,Sunnova,FMPP,DC,0.406,,,,0.406,42,,,,42
2024,FL,59579.0,Sunnova,FPC,DC,59.953,,,,59.953,6319,,,,6319
2024,FL,59579.0,Sunnova,FPL,DC,75.227,,,,75.227,7931,,,,7931
2024,FL,59579.0,Sunnova,GVL,DC,0.112,,,,0.112,12,,,,12
2024,FL,59579.0,Sunnova,HST,DC,5.398,,,,5.398,569,,,,569
2024,FL,59579.0,Sunnova,JEA,DC,0.638,,,,0.638,67,,,,67
2024,FL,59579.0,Sunnova,SEC,DC,4.287,,,,4.287,452,,,,452
2024,FL,59579.0,Sunnova,TEC,DC,26.26,,,,26.26,2768,,,,2768
2024,FL,59647.0,Sunrun Inc.,FPC,DC,129.017,,,,129.017,12067,,,,12067
2024,FL,59647.0,Sunrun Inc.,FPL,DC,14.612,,,,14.612,1584,,,,1584
2024,FL,59647.0,Sunrun Inc.,TEC,DC,27.741,,,,27.741,2509,,,,2509
2024,FL,60025.0,Greenbacker Renewable Energy Corporation,GVL,AC,0,0.4,0,0,0.4,0,1,0,0,1
2024,FL,60981.0,"TerraForm US Energy Services, LLC",FPC,AC,,0.995,,,0.995,,3,,,3
2024,FL,61823.0,"Greenskies Renewable Energy, LLC",GVL,DC,,2.422,,,2.422,,6,,,6
2024,FL,66026.0,"Palmetto Solar, LLC",FMPP,DC,3.983,,,,3.983,476,,,,476
2024,FL,66026.0,"Palmetto Solar, LLC",FPC,DC,20.297,,,,20.297,1885,,,,1885
2024,FL,66026.0,"Palmetto Solar, LLC",FPL,DC,14.27,,,,14.27,1369,,,,1369
2024,FL,66026.0,"Palmetto Solar, LLC",TEC,DC,5.061,,,,5.061,436,,,,436
2024,FL,99999.0,Adjustment 2024,FMPP,,-0.776,0,,,-0.776,,,,,
2024,FL,99999.0,Adjustment 2024,FPC,,-36.96,0,,,-36.96,,,,,
2024,FL,99999.0,Adjustment 2024,FPL,,-18.163,0,,,-18.163,,,,,
2024,FL,99999.0,Adjustment 2024,GVL,,-0.02,-0.422,,,-0.442,,,,,
2024,FL,99999.0,Adjustment 2024,HST,,-0.941,,,,-0.941,,,,,
2024,FL,99999.0,Adjustment 2024,JEA,,-0.111,,,,-0.111,,,,,
2024,FL,99999.0,Adjustment 2024,SEC,,-0.849,0,,,-0.849,,,,,
2024,FL,99999.0,Adjustment 2024,SOCO,,0,-0.321,,,-0.321,,,,,
2024,FL,99999.0,Adjustment 2024,TEC,,-10.3,,,,-10.3,,,,,
2024,GA,59579.0,Sunnova,SOCO,DC,0.3,,,,0.3,37,,,,37
2024,GA,60981.0,"TerraForm US Energy Services, LLC",SEPA,AC,,3.918,,,3.918,,5,,,5
2024,GA,66026.0,"Palmetto Solar, LLC",SOCO,DC,3.375,,,,3.375,380,,,,380
2024,GA,99999.0,Adjustment 2024,SOCO,,-0.641,,,,-0.641,,,,,
2024,GU,59579.0,Sunnova,NA,DC,6.275,,,,6.275,577,,,,577
2024,GU,99999.0,Adjustment 2024,NA,,-1.094,,,,-1.094,,,,,
2024,HI,57313.0,Tesla Inc.,HECO,DC,14.035,32.342,,,46.377,1905,2353,,,4258
2024,HI,57313.0,Tesla Inc.,NA,DC,3.084,1.329,,,4.413,466,18,,,484
2024,HI,59579.0,Sunnova,HECO,DC,7.465,,,,7.465,874,,,,874
2024,HI,59579.0,Sunnova,NA,DC,0.789,,,,0.789,93,,,,93
2024,HI,59580.0,"SunPower Capital, LLC",HECO,AC,9.51,,,,9.51,1100,,,,1100
2024,HI,59647.0,Sunrun Inc.,HECO,DC,114.848,,,,114.848,16561,,,,16561
2024,HI,59943.0,Spruce Finance,NA,AC,3.703,0,0,0,3.703,481,0,0,0,481
2024,HI,60025.0,Greenbacker Renewable Energy Corporation,NA,AC,0,0.3,0,0,0.3,0,1,0,0,1
2024,HI,60981.0,"TerraForm US Energy Services, LLC",HECO,AC,,1.174,,,1.174,,6,,,6
2024,HI,99999.0,Adjustment 2024,HECO,,-23.779,-5.64,,,-29.42,,,,,
2024,HI,99999.0,Adjustment 2024,NA,,-0.675,-0.232,,,-0.907,,,,,
2024,ID,59579.0,Sunnova,IPCO,DC,0.1,,,,0.1,10,,,,10
2024,ID,99999.0,Adjustment 2024,IPCO,,-0.017,,,,-0.017,,,,,
2024,IL,57313.0,Tesla Inc.,PJM,DC,0.027,0,,,0.027,3,0,,,3
2024,IL,59579.0,Sunnova,GLHB,DC,0,,,,0.0,0,,,,0
2024,IL,59579.0,Sunnova,MISO,DC,21.687,,,,21.687,2158,,,,2158
2024,IL,59579.0,Sunnova,PJM,DC,8.787,,,,8.787,873,,,,873
2024,IL,59647.0,Sunrun Inc.,PJM,DC,300.507,,,,300.507,36377,,,,36377
2024,IL,66026.0,"Palmetto Solar, LLC",MISO,DC,5.608,,,,5.608,524,,,,524
2024,IL,66026.0,"Palmetto Solar, LLC",PJM,DC,2.789,,,,2.789,274,,,,274
2024,IL,66036.0,"EverBright, LLC",PJM,AC,58.715,,,,58.715,8272,,,,8272
2024,IL,99999.0,Adjustment 2024,GLHB,,0,,,,0.0,,,,,
2024,IL,99999.0,Adjustment 2024,MISO,,-4.76,,,,-4.76,,,,,
2024,IL,99999.0,Adjustment 2024,PJM,,-54.432,0,,,-54.432,,,,,
2024,IN,59579.0,Sunnova,MISO,DC,0.02,,,,0.02,2,,,,2
2024,IN,60025.0,Greenbacker Renewable Energy Corporation,PJM,AC,0,1.35,0,0,1.35,0,4,0,0,4
2024,IN,99999.0,Adjustment 2024,MISO,,-0.003,,,,-0.003,,,,,
2024,KS,66026.0,"Palmetto Solar, LLC",SWPP,DC,0.673,,,,0.673,84,,,,84
2024,KS,99999.0,Adjustment 2024,SWPP,,-0.117,,,,-0.117,,,,,
2024,LA,59579.0,Sunnova,MISO,DC,0.075,,,,0.075,14,,,,14
2024,LA,59579.0,Sunnova,SWPP,DC,0.058,,,,0.058,8,,,,8
2024,LA,59943.0,Spruce Finance,MISO,AC,0.559,0,0,0,0.559,88,0,0,0,88
2024,LA,99999.0,Adjustment 2024,MISO,,-0.013,,,,-0.013,,,,,
2024,LA,99999.0,Adjustment 2024,SWPP,,-0.01,,,,-0.01,,,,,
2024,MA,57313.0,Tesla Inc.,ISNE,DC,135.582,4.466,,,140.048,19248,25,,,19273
2024,MA,59086.0,"Constellation Solar Holding, LLC",ISNE,DC,0,2.98,0,0,2.98,0,8,0,0,8
2024,MA,59579.0,Sunnova,ISNE,DC,144.25,,,,144.25,18076,,,,18076
2024,MA,59580.0,"SunPower Capital, LLC",ISNE,AC,12.2,,,,12.2,1425,,,,1425
2024,MA,59622.0,"Ahana Renewables, LLC",ISNE,DC,0,28.312,0,0,28.312,0,12,0,0,12
2024,MA,59647.0,Sunrun Inc.,ISNE,DC,492.579,,,,492.579,63011,,,,63011
2024,MA,59943.0,Spruce Finance,ISNE,AC,23.208,0,0,0,23.208,3393,0,0,0,3393
2024,MA,60025.0,Greenbacker Renewable Energy Corporation,ISNE,AC,0,10.88,0,0,10.88,0,20,0,0,20
