utility_characteristics_year,state,utility_number,utility_name,ba_code,photovoltaic_capacity_mw_type,photovoltaic_capacity_mw_residential,photovoltaic_capacity_mw_commercial,photovoltaic_capacity_mw_industrial,photovoltaic_capacity_mw_transportation,photovoltaic_capacity_mw_total,photovoltaic_installations_residential,photovoltaic_installations_commercial,photovoltaic_installations_industrial,photovoltaic_installations_transportation,photovoltaic_installations_total
2024,NM,99999.0,Adjustment 2024,SWPP,,-0.111,,,,-0.111,,,,,
2024,NV,57313.0,Tesla Inc.,NEVP,DC,82.821,2.843,,,85.664,12391,7,,,12398
2024,NV,59579.0,Sunnova,NEVP,DC,72.031,,,,72.031,9667,,,,9667
2024,NV,59580.0,"SunPower Capital, LLC",NEVP,AC,15.03,,,,15.03,1478,,,,1478
2024,NV,59647.0,Sunrun Inc.,NEVP,DC,196.408,,,,196.408,24202,,,,24202
2024,NV,59943.0,Spruce Finance,NEVP,AC,1.105,0,0,0,1.105,148,0,0,0,148
2024,NV,66026.0,"Palmetto Solar, LLC",NEVP,DC,6.106,,,,6.106,672,,,,672
2024,NV,99999.0,Adjustment 2024,NEVP,,-62.325,-0.496,,,-62.82,,,,,
2024,NY,57313.0,Tesla Inc.,NYIS,DC,129.922,17.978,,,147.9,16990,165,,,17155
2024,NY,59579.0,Sunnova,NYIS,DC,45.895,,,,45.895,6255,,,,6255
2024,NY,59580.0,"SunPower Capital, LLC",NYIS,AC,76.78,,,,76.78,9488,,,,9488
2024,NY,59622.0,"Ahana Renewables, LLC",NYIS,DC,0,29.036,0,0,29.036,0,7,0,0,7
2024,NY,59647.0,Sunrun Inc.,NYIS,DC,299.04,,,,299.04,41589,,,,41589
2024,NY,59943.0,Spruce Finance,ISNE,AC,36.96,0,0,0,36.96,5636,0,0,0,5636
2024,NY,59943.0,Spruce Finance,PJM,AC,15.84,0,0,0,15.84,2400,0,0,0,2400
2024,NY,60025.0,Greenbacker Renewable Energy Corporation,NYIS,AC,0,1.87,0,0,1.87,0,6,0,0,6
2024,NY,60981.0,"TerraForm US Energy Services, LLC",NYIS,AC,,1.225,,,1.225,,6,,,6
2024,NY,66026.0,"Palmetto Solar, LLC",NYIS,DC,0.014,,,,0.014,15,,,,15
2024,NY,99999.0,Adjustment 2024,NYIS,,-82.818,-8.199,0,0,-91.017,,,,,
2024,OH,57313.0,Tesla Inc.,PJM,DC,,7.796,,,7.796,,18,,,18
2024,OH,59579.0,Sunnova,PJM,DC,0.099,,,,0.099,10,,,,10
2024,OH,66026.0,"Palmetto Solar, LLC",PJM,DC,2.464,,,,2.464,256,,,,256
2024,OH,66036.0,"EverBright, LLC",PJM,AC,5.571,,,,5.571,777,,,,777
2024,OH,99999.0,Adjustment 2024,PJM,,-0.447,-1.36,,,-1.807,,,,,
2024,OK,59579.0,Sunnova,MISO,DC,0.1,,,,0.1,12,,,,12
2024,OK,66026.0,"Palmetto Solar, LLC",SWPP,DC,1.967,,,,1.967,220,,,,220
2024,OK,99999.0,Adjustment 2024,MISO,,-0.017,,,,-0.017,,,,,
2024,OK,99999.0,Adjustment 2024,SWPP,,-0.343,,,,-0.343,,,,,
2024,OR,57313.0,Tesla Inc.,BPAT,DC,0.094,1.242,,,1.336,17,2,,,19
2024,OR,57313.0,Tesla Inc.,PACW,DC,2.747,3.582,,,6.329,475,27,,,502
2024,OR,57313.0,Tesla Inc.,PGE,DC,18.784,3.779,,,22.563,3167,19,,,3186
2024,OR,59579.0,Sunnova,PGE,DC,0.26,,,,0.26,30,,,,30
2024,OR,59647.0,Sunrun Inc.,PGE,DC,0.389,,,,0.389,82,,,,82
2024,OR,60981.0,"TerraForm US Energy Services, LLC",PACW,AC,,0.921,,,0.921,,3,,,3
2024,OR,65242.0,"Scale Sustainable I, LLC",PACW,DC,,0.693,,,0.693,,7,,,7
2024,OR,99999.0,Adjustment 2024,BPAT,,-0.016,-0.217,,,-0.233,,,,,
2024,OR,99999.0,Adjustment 2024,PACW,,-0.479,-0.746,,,-1.225,,,,,
2024,OR,99999.0,Adjustment 2024,PGE,,-3.389,-0.659,,,-4.048,,,,,
2024,PA,57313.0,Tesla Inc.,PJM,DC,65.127,2.146,,,67.273,6956,8,,,6964
2024,PA,59579.0,Sunnova,PJM,DC,134.249,,,,134.249,13118,,,,13118
2024,PA,59580.0,"SunPower Capital, LLC",PJM,AC,0.66,,,,0.66,67,,,,67
2024,PA,59647.0,Sunrun Inc.,PJM,DC,45.981,,,,45.981,5175,,,,5175
2024,PA,60981.0,"TerraForm US Energy Services, LLC",PJM,AC,,4.755,,,4.755,,18,,,18
2024,PA,61823.0,"Greenskies Renewable Energy, LLC",PJM,DC,,0.472,,,0.472,,1,,,1
2024,PA,65242.0,"Scale Sustainable I, LLC",PJM,DC,,0.031,,,0.031,,1,,,1
2024,PA,66026.0,"Palmetto Solar, LLC",PJM,DC,4.181,,,,4.181,521,,,,521
2024,PA,99999.0,Adjustment 2024,PJM,,-43.519,-0.462,,,-43.981,,,,,
2024,PR,57313.0,Tesla Inc.,NA,DC,,2.958,,,2.958,,13,,,13
2024,PR,59579.0,Sunnova,NA,DC,312.098,,,,312.098,54177,,,,54177
2024,PR,59647.0,Sunrun Inc.,NA,DC,259.05,,,,259.05,36221,,,,36221
2024,PR,60981.0,"TerraForm US Energy Services, LLC",NA,AC,,1.012,,,1.012,,5,,,5
2024,PR,99999.0,Adjustment 2024,NA,,-99.608,-0.516,,,-100.124,,,,,
2024,RI,57313.0,Tesla Inc.,ISNE,DC,0.714,2.126,,,2.84,95,214,,,309
2024,RI,59579.0,Sunnova,ISNE,DC,16.967,,,,16.967,2400,,,,2400
2024,RI,59622.0,"Ahana Renewables, LLC",ISNE,DC,0,9.041,0,0,9.041,0,3,0,0,3
2024,RI,59647.0,Sunrun Inc.,ISNE,DC,24.383,,,,24.383,3467,,,,3467
2024,RI,60025.0,Greenbacker Renewable Energy Corporation,ISNE,AC,0,0.83,0,0,0.83,0,1,0,0,1
2024,RI,66026.0,"Palmetto Solar, LLC",ISNE,DC,0.202,,,,0.202,25,,,,25
2024,RI,66036.0,"EverBright, LLC",ISNE,AC,0.888,,,,0.888,158,,,,158
2024,RI,99999.0,Adjustment 2024,ISNE,,-7.371,-1.948,0,0,-9.319,,,,,
2024,SC,59579.0,Sunnova,CPLE,DC,0.029,,,,0.029,3,,,,3
2024,SC,59579.0,Sunnova,DUK,DC,3.21,,,,3.21,349,,,,349
2024,SC,59579.0,Sunnova,SC,DC,0.149,,,,0.149,19,,,,19
2024,SC,59579.0,Sunnova,SCEG,DC,0.143,,,,0.143,13,,,,13
2024,SC,59647.0,Sunrun Inc.,DUK,DC,40.054,,,,40.054,3786,,,,3786
2024,SC,59647.0,Sunrun Inc.,SCEG,DC,34.747,,,,34.747,3902,,,,3902
2024,SC,99999.0,Adjustment 2024,CPLE,,-0.005,,,,-0.005,,,,,
2024,SC,99999.0,Adjustment 2024,DUK,,-7.545,,,,-7.545,,,,,
2024,SC,99999.0,Adjustment 2024,SC,,-0.026,,,,-0.026,,,,,
2024,SC,99999.0,Adjustment 2024,SCEG,,-6.085,,,,-6.085,,,,,
2024,TN,60025.0,Greenbacker Renewable Energy Corporation,PJM,AC,0,4.31,0,0,4.31,0,15,0,0,15
