data_year,utility_number,utility_name,state,ownership,ieee_standard_all_events_with_major_event_days_saidi_minutes_per_year,ieee_standard_all_events_with_major_event_days_saifi_times_per_year,ieee_standard_all_events_with_major_event_days_caidi_minutes_per_interruption,ieee_standard_without_major_event_days_saidi_minutes_per_year,ieee_standard_without_major_event_days_saifi_times_per_year,ieee_standard_without_major_event_days_caidi_minutes_per_interruption,ieee_standard_loss_of_supply_removed_with_major_event_days_saidi_minutes_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_saifi_times_per_year,ieee_standard_loss_of_supply_removed_with_major_event_days_caidi_minutes_per_interruption,ieee_standard_number_of_customers,ieee_standard_highest_dist_voltage,ieee_standard_outages_recorded_automatically,other_standard_all_events_with_major_event_days_saidi_minutes_per_year,other_standard_all_events_with_major_event_days_saifi_times_per_year,other_standard_all_events_with_major_event_days_caidi_with_med,other_standard_without_major_event_days_saidi_minutes_per_year,other_standard_without_major_event_days_saifi_times_per_year,other_standard_without_major_event_days_caidi_without_med,other_standard_number_of_customers,other_standard_inactive_accounts_included,other_standard_momentary_interruptions,other_standard_highest_dist_voltage,other_standard_outages_recorded_automatically
2024,15497.0,Puerto Rico Electric Pwr Authority,PR,State,4415.05,18.62,237.11332,1811.43,13.67,132.51134,2205.22,5.02,439.28685,1468223,13.2,N,,,,,,,,,,,
2024,40428.0,Guam Power Authority,GU,State,,,,,,,,,,,,,889.71,18.13,49.073911,889.71,18.13,49.073911,54731,N,F,13.8,N
2024,40429.0,American Samoa Power Authority,AS,State,284.38,4.52,62.915929,,,,,,,12684,13.2,N,,,,,,,,,,,
"CAIDI = SAIDI / SAIFI.
MED- Major Event Days.
MINUS LOS- Minus Loss of Supply.
Momentary Interruptions: ""L"" = less than 1 minute, ""F"" = five minutes or less and ""O"" = other.",,,,,,,,,,,,,,,,,,,,,,,,,,,
