data_year,utility_number,utility_name,ownership,state,ba_code,decoupled_residential,decoupled_commercial,decoupled_industrial,decoupled_transportation,revenue_adjustment_method_residential,revenue_adjustment_method_commercial,revenue_adjustment_method_industrial,revenue_adjustment_method_transportation
2024,66036,"EverBright, LLC",Behind the Meter,MD,PJM,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,IL,PJM,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,CA,CISO,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,CT,ISNE,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,AR,MISO,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,AZ,AZPS,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,TX,ERCO,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,RI,ISNE,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,CO,PSCO,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,NH,ISNE,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,ME,ISNE,Yes,,,,Automatic,,,
2024,66036,"EverBright, LLC",Behind the Meter,OH,PJM,Yes,,,,Automatic,,,
