data_year,utility_number,utility_name,state,distribution_circuits,circuits_with_voltage_optimization
2024,9999,Kankakee Valley Rural E M C,IN,34,34
2024,10000,Evergy Metro,KS,378,0
2024,10000,Evergy Metro,MO,489,0
2024,10005,"Evergy Kansas South, Inc",KS,478,0
2024,10009,Karnes Electric Coop Inc,TX,85,0
2024,10012,Kay Electric Coop,OK,68,0
2024,10019,FreeState Electric Coop,KS,75,
2024,10056,City of Kaukauna,WI,36,0
2024,10066,K C Electric Association,CO,42,
2024,10071,Kauai Island Utility Cooperative,HI,44,44
2024,10170,"Kiamichi Electric Coop, Inc",OK,48,29
2024,10171,Kentucky Utilities Co,KY,1122,
2024,10171,Kentucky Utilities Co,VA,92,
2024,10210,Ketchikan Public Utilities,AK,15,9
2024,10226,"Utility Board of the City of Key West, F",FL,36,0
2024,10325,Kings River Conservation Dist,CA,1,0
2024,10331,Kingsport Power Co,TN,67,0
2024,10345,City of Kinston - (NC),NC,38,21
2024,10370,City of Kirkwood - (MO),MO,34,
2024,10376,Kissimmee Utility Authority,FL,90,34
2024,10378,"Kit Carson Electric Coop, Inc",NM,36,35
2024,10393,PUD No 1 of Klickitat County,WA,46,
2024,10421,Knoxville Utilities Board,TN,292,2
2024,10433,Kodiak Electric Assn Inc,AK,20,0
2024,10448,Kosciusko County Rural E M C,IN,38,14
2024,10451,Kotzebue Electric Assn Inc,AK,4,0
2024,10454,Kootenai Electric Cooperative,ID,33,33
2024,10454,Kootenai Electric Cooperative,WA,3,3
2024,10508,Village of L'Anse - (MI),MI,2,0
2024,10539,"La Plata Electric Assn, Inc",CO,86,0
2024,10579,City of LaFollette,TN,37,37
2024,10585,City of La Grange - (GA),GA,29,0
2024,10596,City of Lake Crystal - (MN),MN,4,4
2024,10599,"Lake Region Electric Coop, Inc - (OK)",OK,67,2
2024,10603,"Laclede Electric Coop, Inc",MO,106,0
2024,10605,Lake Mills Light & Water,WI,14,1
2024,10618,Lake Region Electric Cooperative - (MN),MN,106,11
2024,10620,City of Lake Worth Beach - (FL),FL,43,21
2024,10623,City of Lakeland - (FL),FL,122,112
2024,10624,Southern Rivers Energy,GA,52,0
2024,10625,"Lamb County Electric Coop, Inc",TX,69,64
2024,10627,Lakeview Light & Power,WA,15,
2024,10649,Lamar County Elec Coop Assn,TX,13,
2024,10668,Licking Rural Electric Inc,OH,65,
2024,10681,Lane Electric Coop Inc,OR,35,35
2024,10697,Lake Country Power,MN,145,0
2024,10704,City of Lansing - (MI),MI,192,0
2024,10768,"Laurens Electric Coop, Inc",SC,126,0
2024,10799,City of Lawrenceburg,TN,33,0
2024,10800,City of Lawrenceville - (GA),GA,16,
2024,10817,"Lea County Electric Coop, Inc - (NM)",NM,59,
2024,10817,"Lea County Electric Coop, Inc - (NM)",TX,36,
2024,10830,City of Lebanon - (OH),OH,20,
2024,10832,City of Lebanon - (MO),MO,32,0
2024,10857,"Lee County Electric Coop, Inc - (FL)",FL,146,0
2024,10868,City of Leesburg - (FL),FL,25,25
2024,10879,Lehi City Corporation,UT,43,6
2024,10906,City of Lenoir - (TN),TN,70,0
2024,10944,PUD No 1 of Lewis County,WA,83,
2024,10960,City of Lewisburg - (TN),TN,16,0
2024,10966,City of Lexington - (NC),NC,39,36
2024,10967,City of Lexington - (NE),NE,19,0
2024,10968,City of Lexington - (TN),TN,35,29
2024,11011,Licking Valley Rural E C C,KY,37,1
2024,11014,"Lighthouse Electric Coop, Inc",TX,82,0
2024,11018,Lincoln Electric System,NE,184,184
2024,11053,Linn County REC,IA,41,1
2024,11085,Town of Littleton - (MA),MA,6,
2024,11118,Lockhart Power Co,SC,35,28
2024,11124,City of Lodi - (CA),CA,29,29
2024,11125,City of Lodi - (WI),WI,5,0
2024,11135,City of Logan - (UT),UT,29,4
2024,11142,City of Logansport - (IN),IN,24,0
2024,11171,Long Island Power Authority,NY,1088,0
2024,11187,City of Longmont,CO,50,0
2024,11200,"Lorain-Medina R E C, Inc",OH,47,47
2024,11204,Los Alamos County,NM,9,0
2024,11208,Los Angeles Department of Water & Power,CA,2640,1667
2024,11222,Loudon Utilities Board,TN,36,19
2024,11241,Entergy Louisiana LLC,LA,1215,
2024,11247,Louisville Electric System,MS,9,2
2024,11249,Louisville Gas & Electric Co,KY,634,0
2024,11251,Loup River Public Power Dist,NE,87,0
2024,11256,City of Loveland - (CO),CO,63,0
2024,11272,"Lower Yellowstone R E A, Inc",MT,42,
2024,11272,"Lower Yellowstone R E A, Inc",ND,14,
2024,11273,Lower Valley Energy Inc,ID,3,0
2024,11273,Lower Valley Energy Inc,WY,63,0
2024,11291,Lumbee River Elec Member Corp,NC,135,39
2024,11292,City of Lubbock - (TX),TX,112,
2024,11318,City of Lumberton - (NC),NC,12,
2024,11355,"Lynches River Elec Coop, Inc",SC,60,
2024,11364,"Lyntegar Electric Coop, Inc",TX,129,129
2024,11458,City of Macon - (MS),MS,3,3
2024,11463,Macon Electric Coop,MO,57,
2024,11475,City of Madison - (SD),SD,12,12
2024,11477,Town of Madison - (ME),ME,1,1
2024,11479,Madison Gas & Electric Co,WI,285,0
2024,11488,Madisonville Municipal Utils,KY,15,0
2024,11501,Magic Valley Electric Coop Inc,TX,141,52
2024,11519,Magnolia Electric Power Assn,MS,62,
2024,11560,City of Manassas - (VA),VA,20,20
2024,11571,Manitowoc Public Utilities,WI,26,0
2024,11586,Town of Mansfield - (MA),MA,12,0
2024,11611,City of Maquoketa - (IA),IA,16,0
2024,11646,City of Marietta - (GA),GA,71,44
2024,11701,City of Marquette - (MI),MI,14,14
2024,11714,Marshall-De Kalb Electric Coop,AL,31,0
2024,11731,City of Marshall - (MN),MN,30,30
2024,11740,City of Marshfield - (WI),WI,15,0
2024,11788,Consumers Energy Coop - (IA),IA,43,43
2024,11789,Maryville Utilities,TN,28,0
2024,11804,Massachusetts Electric Co,MA,1211,103
2024,11811,Town of Massena - (NY),NY,12,12
2024,11824,Matanuska Electric Assn Inc,AK,70,69
2024,11843,Maui Electric Co Ltd,HI,122,0
2024,11871,City of Mayfield Plant Board,KY,7,7
2024,12087,McKenzie Electric Coop Inc,MT,4,
2024,12087,McKenzie Electric Coop Inc,ND,206,
2024,12090,"McLean Electric Coop, Inc",ND,39,
2024,12186,McMinnville Electric System,TN,12,0
2024,12187,City of McMinnville - (OR),OR,37,8
2024,12199,Montana-Dakota Utilities Co,MT,152,
2024,12199,Montana-Dakota Utilities Co,ND,358,
2024,12199,Montana-Dakota Utilities Co,SD,52,
2024,12199,Montana-Dakota Utilities Co,WY,44,
2024,12208,City of McPherson - (KS),KS,42,42
2024,12227,Meeker Coop Light & Power Assn,MN,49,0
2024,12243,Meade County Rural E C C,KY,86,
2024,12260,Mecklenburg Electric Cooperative,NC,4,0
2024,12260,Mecklenburg Electric Cooperative,VA,62,
2024,12268,"Medina Electric Coop, Inc",TX,111,0
2024,12293,City of Memphis - (TN),TN,482,4
2024,12298,City of Menasha - (WI),WI,16,16
2024,12301,Nodak Electric Coop Inc,ND,190,11
2024,12312,Merced Irrigation District,CA,20,20
2024,12330,Meriwether Lewis Electric Coop,TN,43,0
2024,12341,MidAmerican Energy Co,IA,1074,260
2024,12341,MidAmerican Energy Co,IL,111,0
2024,12341,MidAmerican Energy Co,SD,18,0
2024,12351,City of Mesa - (AZ),AZ,30,0
2024,12377,Midwest Energy Cooperative - (MI),IN,1,0
2024,12377,Midwest Energy Cooperative - (MI),MI,101,0
2024,12377,Midwest Energy Cooperative - (MI),OH,5,0
2024,12395,Menard Electric Coop,IL,60,36
2024,12439,"Midstate Electric Coop, Inc",OR,50,8
2024,12450,Midland Power Coop,IA,164,0
2024,12452,Mid-South Electric Coop Assn,TX,67,
2024,12462,Mid-Carolina Electric Coop Inc,SC,83,
2024,12470,Middle Tennessee E M C,TN,300,300
2024,12473,Town of Middleborough - (MA),MA,12,12
2024,12478,Town of Middletown - (DE),DE,9,9
2024,12515,"Midwest Electric, Inc - (OH)",OH,41,0
2024,12524,Midwest Energy Inc - (KS),KS,375,
2024,12532,City of Milan - (TN),TN,19,19
2024,12539,Midwest Electric Member Corp - (NE),NE,87,75
2024,12540,City of Milford - (DE),DE,11,0
2024,12546,Mille Lacs Energy Cooperative,MN,40,1
2024,12642,Maquoketa Valley Rrl Elec Coop,IA,121,0
2024,12647,"ALLETE, Inc.",MN,340,1
2024,12651,Minnesota Valley Electric Coop,MN,108,14
2024,12674,City of Mishawaka,IN,80,26
2024,12681,Mississippi County Electric Co,AR,27,
2024,12685,Entergy Mississippi LLC,MS,755,
2024,12686,Mississippi Power Co,MS,291,63
2024,12692,"Missoula Electric Coop, Inc",ID,1,0
2024,12692,"Missoula Electric Coop, Inc",MT,40,0
2024,12698,Evergy Missouri West,MO,557,0
2024,12700,Missouri Rural Electric Coop,MO,28,9
2024,12706,Mitchell Electric Member Corp,GA,73,
2024,12744,Modern Electric Water Company,WA,9,0
2024,12745,Modesto Irrigation District,CA,188,0
2024,12782,City of Monett - (MO),MO,18,18
2024,12796,Monongahela Power Co,WV,502,502
2024,12801,City of Monroe - (NC),NC,30,4
2024,12825,NorthWestern Energy LLC - (MT),MT,619,
2024,12825,NorthWestern Energy LLC - (MT),WY,11,
2024,12860,Morgan County Rural Elec Assn,CO,70,70
2024,12866,Moon Lake Electric Assn Inc,CO,35,35
2024,12866,Moon Lake Electric Assn Inc,UT,88,88
2024,12894,City of Moorhead - (MN),MN,36,36
2024,12919,Morenci Water and Electric,AZ,2,
2024,12929,South Central Indiana REMC,IN,60,0
2024,12944,City of Morganton - (NC),NC,24,0
2024,12988,City of Morristown - (TN),TN,34,32
2024,12990,Consolidated Cooperative,OH,44,
2024,13027,"Mountain Electric Coop, Inc",NC,22,0
2024,13027,"Mountain Electric Coop, Inc",TN,16,0
2024,13032,Mt Carmel Public Utility Co,IL,15,6
2024,13036,Village of Mt. Horeb - (WI),WI,9,9
2024,13039,City of Mt Pleasant - (TN),TN,11,0
2024,13050,"Mountain Parks Electric, Inc",CO,26,0
2024,13058,"Mountain View Elec Assn, Inc",CO,109,0
2024,13073,"Mt Wheeler Power, Inc",NV,24,
2024,13073,"Mt Wheeler Power, Inc",UT,3,
2024,13137,City of Murray - (UT),UT,28,28
2024,13138,City of Murray - (KY),KY,19,0
2024,13143,Board of Water Electric & Communications,IA,36,0
2024,13144,City of Muscle Shoals,AL,15,0
2024,13145,Village of Muscoda - (WI),WI,6,3
2024,13196,Northern Plains Electric Coop,ND,139,0
2024,13206,Nantucket Electric Co,MA,8,0
2024,13208,City of Naperville - (IL),IL,116,116
2024,13214,The Narragansett Electric Co,RI,408,30
2024,13216,Nashville Electric Service,TN,512,0
2024,13227,Natchez Trace Elec Power Assn,MS,22,0
2024,13228,City of Natchitoches,LA,24,0
2024,13292,Norris Electric Coop,IL,123,
2024,13314,Navajo Tribal Utility Authority,AZ,60,44
2024,13314,Navajo Tribal Utility Authority,NM,33,30
2024,13314,Navajo Tribal Utility Authority,UT,14,10
2024,13318,"Navopache Electric Coop, Inc",AZ,38,0
2024,13318,"Navopache Electric Coop, Inc",NM,5,0
2024,13332,"Navarro County Elec Coop, Inc",TX,55,55
2024,13337,Nebraska Public Power District,NE,116,15
2024,13337,Nebraska Public Power District,SD,5,3
2024,13352,City of Negaunee,MI,4,0
2024,13407,Nevada Power Co,NV,1045,34
2024,13412,City of New Albany - (MS),MS,24,0
2024,13416,City of New Bern - (NC),NC,14,0
2024,13418,City of New Braunfels - (TX),TX,42,0
2024,13437,City of Newbern,TN,9,0
2024,13438,Village of New Glarus - (WI),WI,5,0
2024,13441,New Hampshire Elec Coop Inc,NH,122,122
2024,13448,City of New Holstein - (WI),WI,6,0
2024,13467,New London Electric&Water Util,WI,38,38
2024,13478,"Entergy New Orleans, LLC",LA,222,
2024,13481,City of New Richmond,WI,10,10
2024,13482,New River Light & Power Co,NC,23,
2024,13485,New Smyrna Beach City of,FL,14,0
2024,13511,New York State Elec & Gas Corp,NY,1264,0
2024,13519,City of Newark - (DE),DE,34,0
2024,13520,"New-Mac Electric Coop, Inc",MO,54,
2024,13524,"Newberry Electric Coop, Inc",SC,64,38
2024,13547,"Newnan Wtr, Sewer & Light Comm",GA,24,16
2024,13550,City of Newport - (TN),TN,35,34
2024,13573,Niagara Mohawk Power Corp.,NY,1997,41
2024,13602,City of Niles - (OH),OH,39,
2024,13640,Northern Virginia Elec Coop,VA,395,395
2024,13647,Noble County R E M C,IN,29,23
2024,13651,Nolin Rural Electric Coop Corp,KY,88,
2024,13664,Norris Public Power District,NE,241,0
2024,13669,North Alabama Electric Coop,AL,20,0
2024,13676,"North Arkansas Elec Coop, Inc",AR,93,85
2024,13679,Town of North Attleborough - (MA),MA,12,12
2024,13693,"North Central Elec Coop, Inc - (OH)",OH,41,41
2024,13694,"North Central Elec Coop, Inc - (ND)",ND,79,0
2024,13697,North Central Power Co Inc,WI,12,
2024,13716,North Georgia Elec Member Corp,GA,139,0
2024,13718,City of North Little Rock - (AR),AR,49,43
2024,13725,City of North Platte,NE,53,0
2024,13734,Northeast Oklahoma Electric Co,OK,96,62
2024,13735,Northcentral Mississippi E P A,MS,54,0
2024,13739,Northeast Power,NE,68,
2024,13750,"Northern Electric Coop, Inc",SD,67,67
2024,13756,Northern Indiana Pub Serv Co,IN,134,
2024,13757,North Plains Electric Coop Inc,TX,53,
2024,13758,"Northern Lights, Inc",ID,28,28
2024,13758,"Northern Lights, Inc",MT,8,8
2024,13758,"Northern Lights, Inc",WA,1,1
2024,13762,"Northern Neck Elec Coop, Inc",VA,49,0
2024,13780,Northern States Power Co,MI,28,
2024,13780,Northern States Power Co,WI,375,
2024,13781,Northern States Power Co - Minnesota,MN,1086,60
2024,13781,Northern States Power Co - Minnesota,ND,65,
2024,13781,Northern States Power Co - Minnesota,SD,79,
2024,13783,Northeast Louisiana Power Coop Inc.,LA,7,7
2024,13788,Northern Wasco County PUD,OR,20,0
2024,13799,Prairie Land Electric Coop Inc,KS,149,
2024,13807,Northwestern Electric Coop Inc - (OK),OK,56,56
2024,13809,NorthWestern Energy - (SD),SD,248,0
2024,13815,Northwestern Wisconsin Elec Co,MN,2,
2024,13815,Northwestern Wisconsin Elec Co,WI,41,
2024,13826,City of Norway,MI,4,0
2024,13830,Nueces Electric Cooperative,TX,50,32
2024,13831,City of Norwich - (CT),CT,25,0
2024,13839,City of Norwood - (MA),MA,30,19
2024,13933,City of Oak Ridge,TN,40,40
2024,13936,Oakdale Electric Coop,WI,76,0
2024,13955,City of Ocala,FL,78,0
2024,13962,Oconee Electric Member Corp,GA,46,
2024,13963,Oconomowoc Utilities,WI,17,0
2024,13965,Oconto Falls Water & Light Comm,WI,5,0
2024,13998,Ohio Edison Co,OH,1156,1138
2024,14006,Ohio Power Co,OH,1700,164
2024,14055,PUD No 1 of Okanogan County,WA,57,
2024,14062,Oklahoma Electric Coop Inc,OK,79,0
2024,14063,Oklahoma Gas & Electric Co,AR,124,14
2024,14063,Oklahoma Gas & Electric Co,OK,1306,389
2024,14078,City of Okolona,MS,9,0
2024,14109,"Oregon Trail El Cons Coop, Inc",OR,77,
2024,14127,Omaha Public Power District,NE,495,29
2024,14146,City of Opelika - (AL),AL,26,26
2024,14154,Orange & Rockland Utils Inc,NY,259,0
2024,14164,City of Orangeburg - (SC),SC,61,61
2024,14170,Orcas Power & Light Coop,WA,30,0
2024,14175,"Tri-County Electric Coop, Inc (SC)",SC,59,
2024,14192,Osage Valley Elec Coop Assn,MO,53,53
2024,14194,City of Orrville - (OH),OH,11,0
2024,14224,Otero County Electric Coop Inc,NM,34,0
2024,14232,Otter Tail Power Co,MN,292,0
2024,14232,Otter Tail Power Co,ND,360,0
2024,14232,Otter Tail Power Co,SD,93,0
2024,14238,Ouachita Electric Coop Corp,AR,40,
2024,14245,Overton Power District No 5,NV,50,50
2024,14246,City of Owatonna - (MN),MN,28,0
2024,14251,Owen Electric Coop Inc,KY,127,
2024,14268,City of Owensboro - (KY),KY,60,0
2024,14275,City of Oxford - (MS),MS,16,0
2024,14285,Ozark Border Electric Coop,MO,133,
2024,14288,Ozark Electric Coop Inc - (MO),MO,93,15
2024,14289,Ozarks Electric Coop Corp - (AR),AR,98,
2024,14289,Ozarks Electric Coop Corp - (AR),OK,26,
2024,14324,PUD No 2 of Pacific County,WA,33,0
2024,14328,Pacific Gas & Electric Co.,CA,3422,0
2024,14354,PacifiCorp,CA,76,0
2024,14354,PacifiCorp,ID,167,0
2024,14354,PacifiCorp,OR,510,0
2024,14354,PacifiCorp,UT,988,0
2024,14354,PacifiCorp,WA,128,0
2024,14354,PacifiCorp,WY,212,0
2024,14371,City of Paducah - (KY),KY,52,52
2024,14381,City of Painesville,OH,15,
2024,14398,Palmetto Electric Coop Inc,SC,137,0
2024,14401,City of Palo Alto - (CA),CA,64,0
2024,14424,"Panola-Harrison Elec Coop, Inc",LA,28,28
2024,14424,"Panola-Harrison Elec Coop, Inc",TX,29,29
2024,14446,Paragould Municipal Utilities,AR,35,
2024,14455,City of Paris - (TN),TN,46,43
2024,14468,People's Cooperative Services,MN,77,0
2024,14534,City of Pasadena - (CA),CA,119,0
2024,14537,Pascoag Utility District,RI,5,
2024,14563,Pearl River Valley El Pwr Assn,MS,100,0
2024,14599,"Paulding-Putman Elec Coop, Inc",IN,17,0
2024,14599,"Paulding-Putman Elec Coop, Inc",OH,49,0
2024,14602,Pea River Electric Coop,AL,50,
2024,14605,City of Peabody - (MA),MA,22,
2024,14606,"Peace River Electric Coop, Inc",FL,65,13
2024,14610,Orlando Utilities Comm,FL,311,311
2024,14624,PUD No 2 of Grant County,WA,250,0
2024,14626,"Pedernales Electric Coop, Inc",TX,323,0
2024,14649,Planters Electric Member Corp,GA,36,
2024,14653,PUD No 1 of Pend Oreille County,WA,23,
2024,14668,Peninsula Light Company,WA,33,
2024,14715,PPL Electric Utilities Corp,PA,1285,1285
2024,14717,Pee Dee Electric Member Corp,NC,26,16
2024,14724,Pennyrile Rural Electric Coop,KY,85,20
2024,14775,People's Electric Cooperative,OK,73,0
2024,14839,City of Peru - (IN),IN,18,0
2024,14840,City of Peru - (IL),IL,20,13
2024,14864,Petit Jean Electric Coop Corp,AR,45,0
2024,14940,PECO Energy Co,PA,2172,0
2024,14947,City of Philadelphia - (MS),MS,9,0
2024,15016,Pickwick Electric Coop,TN,39,39
2024,15023,Piedmont Electric Member Corp,NC,71,0
2024,15040,City of Pierre - (SD),SD,20,0
2024,15045,Pike County Light & Power Co,PA,1,0
2024,15048,Electrical Dist No2 Pinal County,AZ,25,25
2024,15054,"Pioneer Rural Elec Coop, Inc - (OH)",OH,52,0
2024,15073,"Pioneer Electric Coop, Inc - (KS)",KS,77,77
2024,15086,Pioneer Power and Light Co,WI,1,
2024,15095,City of Piqua - (OH),OH,15,
2024,15138,"Platte-Clay Electric Coop, Inc",MO,64,
2024,15141,Plateau Electric Cooperative,TN,26,0
2024,15145,City of Plattsburgh - (NY),NY,95,10
2024,15159,City of Plymouth - (WI),WI,23,0
2024,15175,Pointe Coupee Elec Member Corp,LA,31,0
2024,15202,City of Ponca City - (OK),OK,30,0
2024,15211,Pontotoc Electric Power Assn,MS,50,0
2024,15229,City of Poplar Bluff - (MO),MO,25,0
2024,15231,City of Port Angeles - (WA),WA,24,3
2024,15248,Portland General Electric Co,OR,710,35
2024,15257,"Poudre Valley REA, Inc",CO,139,
2024,15263,The Potomac Edison Company,MD,355,355
2024,15263,The Potomac Edison Company,WV,181,181
2024,15270,Potomac Electric Power Co,DC,761,
2024,15270,Potomac Electric Power Co,MD,724,
2024,15291,Prairie Energy Coop,IA,80,0
2024,15293,Powell Valley Electric Coop,TN,21,0
2024,15293,Powell Valley Electric Coop,VA,11,0
2024,15312,Village of Prairie Du Sac - (WI),WI,10,1
2024,15334,Prentiss County Elec Pwr Assn,MS,30,29
2024,15340,Presque Isle Elec & Gas Coop,MI,70,0
2024,15344,Polk-Burnett Electric Coop,WI,54,0
2024,15349,City of Preston,IA,4,4
2024,15410,Prince George Electric Coop,VA,33,
2024,15419,PUD No 3 of Mason County,WA,46,0
2024,15444,Provo City Corp,UT,44,0
2024,15466,Public Service Co of Colorado,CO,827,423
2024,15470,"Duke Energy Indiana, LLC",IN,1319,467
2024,15472,Public Service Co of NH,NH,815,0
2024,15473,Public Service Co of NM,NM,606,393
2024,15474,Public Service Co of Oklahoma,OK,782,264
2024,15477,Public Service Elec & Gas Co,NJ,2909,0
2024,15500,Puget Sound Energy Inc,WA,1134,138
2024,15507,City of Pulaski - (TN),TN,33,0
2024,15671,Randolph Electric Member Corp,NC,67,66
2024,15700,Rayle Electric Membership Corp,GA,51,0
2024,15746,Red River Valley Rrl Elec Assn,OK,52,52
2024,15748,Town of Reading - (MA),MA,28,20
2024,15776,Central Florida Tourism Oversight District,FL,98,98
2024,15783,City of Redding - (CA),CA,68,0
2024,15804,Reedsburg Utility Comm,WI,22,0
2024,15978,City of Richland Center - (WI),WI,12,0
2024,15979,City of Richland - (WA),WA,82,
2024,15989,City of Richmond - (IN),IN,72,0
2024,16057,"Rio Grande Electric Coop, Inc",NM,5,
2024,16057,"Rio Grande Electric Coop, Inc",TX,67,
2024,16060,Riverland Energy Cooperative,WI,87,
2024,16063,"Rita Blanca Electric Coop, Inc",TX,76,
2024,16082,City of River Falls,WI,20,2
2024,16088,City of Riverside - (CA),CA,129,0
2024,16101,Roanoke Electric Member Corp,NC,42,39
2024,16146,"Navasota Valley Elec Coop, Inc",TX,57,52
2024,16179,Rochelle Municipal Utilities,IL,22,6
2024,16181,Rochester Public Utilities,MN,90,44
2024,16183,Rochester Gas & Electric Corp,NY,576,
2024,16195,City of Rock Hill - (SC),SC,37,
2024,16196,Rock Energy Cooperative,IL,23,19
2024,16196,Rock Energy Cooperative,WI,36,15
2024,16213,Rockland Electric Co,NJ,89,0
2024,16223,City of Rockwood - (TN),TN,19,19
2024,16226,City of Rocky Mount - (NC),NC,50,50
2024,16259,City of Rolla - (MO),MO,50,
2024,16286,Rosebud Electric Coop Inc,SD,25,25
2024,16295,City of Roseville - (CA),CA,106,
2024,16368,Runestone Electric Assn,MN,63,0
2024,16382,"Rural Electric Coop, Inc - (OK)",OK,57,0
2024,16458,City of Russellville - (AL),AL,15,13
2024,16459,City of Russellville - (KY),KY,8,3
2024,16461,"Rusk County Electric Coop, Inc",TX,44,
2024,16463,City of Ruston - (LA),LA,19,19
2024,16496,Rutherford Elec Member Corp,NC,211,0
2024,16534,Sacramento Municipal Util Dist,CA,783,130
2024,16555,Salem Electric - (OR),OR,23,
2024,16558,City of Salem - (VA),VA,45,
2024,16565,Salmon River Electric Coop Inc,ID,6,6
2024,16572,Salt River Project,AZ,1450,0
2024,16587,Salt River Electric Coop Corp,KY,107,55
2024,16603,"San Luis Valley R E C, Inc",CO,54,
2024,16604,City of San Antonio - (TX),TX,697,55
2024,16606,"Santee Electric Coop, Inc",SC,149,0
2024,16609,San Diego Gas & Electric Co,CA,1058,0
2024,16611,Access Energy Coop,IA,64,31
2024,16612,City & County of San Francisco,CA,38,2
2024,16613,Sam Houston Electric Coop Inc,TX,132,
2024,16616,"San Isabel Electric Assn, Inc",CO,73,0
2024,16622,"San Miguel Power Assn, Inc",CO,44,0
2024,16627,San Patricio Electric Coop Inc,TX,39,38
2024,16629,Sand Mountain Electric Coop,AL,55,0
2024,16637,City of Sandersville - (GA),GA,9,0
2024,16638,"San Bernard Electric Coop, Inc",TX,58,0
2024,16655,City of Santa Clara - (CA),CA,190,0
2024,16674,Satilla Rural Elec Member Corporation,GA,82,0
2024,16740,Scenic Rivers Energy Coop,IL,4,
2024,16740,Scenic Rivers Energy Coop,WI,75,
2024,16751,Three Rivers Electric Coop,MO,71,0
2024,16805,SEMO Electric Cooperative,MO,64,0
2024,16829,City of Scottsboro - (AL),AL,16,16
2024,16865,Sawnee Electric Membership Corporation,GA,249,220
2024,16868,City of Seattle - (WA),WA,250,
2024,16900,City of Seguin - (TX),TX,22,22
2024,16930,Sequachee Valley Electric Coop,TN,45,11
2024,16949,Sevier County Electric System,TN,80,0
2024,16971,Shakopee Public Utilities Comm,MN,39,
2024,17011,Shawano Municipal Utilities,WI,11,
2024,17033,Sheffield Utilities,AL,57,0
2024,17038,RushShelby Energy,IN,42,0
2024,17040,"Shelby Electric Coop, Inc - (IL)",IL,62,0
2024,17044,"Shelby Energy Coop, Inc - (KY)",KY,48,
2024,17047,City of Shelbyville - (TN),TN,18,0
2024,17066,Shenandoah Valley Elec Coop,VA,133,0
2024,17127,Town of Shrewsbury - (MA),MA,25,15
2024,17166,Sierra Pacific Power Co,NV,324,
2024,17177,City of Sikeston - (MO),MO,24,16
2024,17184,City of Siloam Springs - (AR),AR,18,
2024,17252,Singing River Elec Cooperative,AL,10,7
2024,17252,Singing River Elec Cooperative,MS,168,100
2024,17260,North West Rural Electric Coop,IA,128,
2024,17261,Slope Electric Coop Inc,ND,55,
2024,17267,Sioux Valley SW Elec Coop,MN,32,
2024,17267,Sioux Valley SW Elec Coop,SD,135,
2024,17324,Slinger Utilities,WI,1,1
2024,17452,City of Smithville - (TN),TN,8,8
2024,17470,PUD No 1 of Snohomish County,WA,391,292
2024,17512,Village of Solvay - (NY),NY,15,0
2024,17534,"South Alabama Elec Coop, Inc",AL,50,0
2024,17539,"Dominion Energy South Carolina, Inc",SC,893,0
2024,17540,"South Central Ark El Coop, Inc",AR,23,23
2024,17543,South Carolina Public Service Authority,SC,302,254
2024,17548,South Central Public Pwr Dist,NE,79,0
2024,17550,South Central Electric Assn,MN,75,0
2024,17561,South Plains Electric Coop Inc,TX,175,154
2024,17564,South Kentucky Rural E C C,KY,143,0
2024,17564,South Kentucky Rural E C C,TN,6,0
2024,17565,South Louisiana Elec Coop Assn,LA,38,0
2024,17572,South River Elec Member Corp,NC,122,122
2024,17577,City of South Sioux City,NE,19,11
2024,17585,"Southeastern IL Elec Coop, Inc",IL,131,1
2024,17592,Southeast Colorado Power Assn,CO,59,
2024,17599,Southeastern Indiana R E M C,IN,20,
2024,17603,Southeastern Electric Coop Inc - (OK),OK,33,31
2024,17609,Southern California Edison Co,CA,4323,3245
2024,17612,Bear Valley Electric Service,CA,26,0
2024,17633,Southern Indiana Gas & Elec Co,IN,227,12
2024,17637,Southern Maryland Elec Coop Inc,MD,245,0
2024,17642,Southern Public Power District,NE,235,
2024,17646,"Southern Pine Elec Coop, Inc",AL,37,0
2024,17647,Southern Pine Electric Cooperative,MS,130,
2024,17671,Southwest Arkansas E C C,AR,93,93
2024,17671,Southwest Arkansas E C C,OK,2,2
2024,17671,Southwest Arkansas E C C,TX,5,5
2024,17683,Southwest Mississippi E P A,MS,71,0
2024,17684,Southwest Louisiana E M C,LA,169,169
2024,17692,Southwest Public Power Dist,NE,75,0
2024,17693,"Southwest Texas Elec Coop, Inc",TX,64,64
2024,17694,Southwest Tennessee E M C,TN,89,0
2024,17697,Southwestern Electric Coop Inc - (IL),IL,90,0
2024,17698,Southwestern Electric Power Co,AR,149,0
2024,17698,Southwestern Electric Power Co,LA,331,
2024,17698,Southwestern Electric Power Co,TX,295,
2024,17715,Southwestern Electric Coop Inc - (NM),CO,1,
2024,17715,Southwestern Electric Coop Inc - (NM),NM,9,
2024,17715,Southwestern Electric Coop Inc - (NM),OK,1,
2024,17715,Southwestern Electric Coop Inc - (NM),TX,2,
2024,17718,Southwestern Public Service Co,NM,217,
2024,17718,Southwestern Public Service Co,TX,427,
2024,17732,Spanish Fork City Corporation,UT,27,
2024,17740,City of Sparta,TN,3,0
2024,17826,"Springer Electric Coop, Inc",NM,16,0
2024,17828,City of Springfield - (IL),IL,117,117
2024,17829,City of Springfield - (TN),TN,12,12
2024,17832,Snapping Shoals El Member Corp,GA,105,99
2024,17833,City Utilities of Springfield - (MO),MO,163,0
