data_year,utility_number,utility_name,state,utility_characteristics_ownership_type,utility_characteristics_nerc_region,demand_megawatts_summer_peak_demand,demand_megawatts_winter_peak_demand,energy_sources_megawatthours_megawatts_net_generation,energy_sources_megawatthours_megawatts_wholesale_power_purchases,energy_sources_megawatthours_power_exchanged_exchange_energy_received,energy_sources_megawatthours_power_exchanged_exchange_energy_delivered,energy_sources_megawatthours_power_exchanged_net_power_exchanged,energy_sources_megawatthours_wheeled_power_wheeled_power_received,energy_sources_megawatthours_wheeled_power_wheeled_power_delivered,energy_sources_megawatthours_wheeled_power_net_wheeled_power,energy_sources_megawatthours_wheeled_power_transmission_by_other_losses,energy_sources_megawatthours_wheeled_power_total_sources,disposition_megawatthours_sales_to_ultimate_customers,disposition_megawatthours_sales_for_resale,disposition_megawatthours_furnished_without_charge,disposition_megawatthours_consumed_by_respondent_without_charge,disposition_megawatthours_total_energy_losses,disposition_megawatthours_total_disposition,electric_revenues_thousands_dollars_from_retail_sales,electric_revenues_thousands_dollars_from_delivery_customers,electric_revenues_thousands_dollars_from_sales_for_resale,electric_revenues_thousands_dollars_from_credits_or_adjustments,electric_revenues_thousands_dollars_from_transmission,electric_revenues_thousands_dollars_from_other,electric_revenues_thousands_dollars_total,electric_revenues_thousands_dollars_data_type_o_observed_i_imputed
2024,15497,Puerto Rico Electric Pwr Authority,PR,State,PR,3184.0,2708.0,12531348,6102871,,,0,,,0,,18634219,17229804,,34156,,1370259,18634219,4066804.0,,,,,,4066804.0,O
2024,19879,Virgin Islands Water & Power Authority,VI,State,VI,109.5,50.9,654170,,,,0,,,0,,654170,624446,,12968,16756,,654170,240003.5,,,,,,240003.5,O
2024,40428,Guam Power Authority,GU,State,GU,264.0,238.0,1655806,,,,0,,,0,,1655806,1556351,,3697,,95758,1655806,542777.8,,,,,,542777.8,O
2024,40429,American Samoa Power Authority,AS,State,AS,29.8,25.6,189367,,,,0,,,0,,189367,168067,,,5132,16168,189367,69100.0,,,,,,69100.0,O
2024,57105,Commonwealth Utility Corporation - (MP),MP,State,MP,40.4,37.2,189341,103635,,,0,,,0,,292976,275901,,,,17075,292976,58653.0,,,,,,58653.0,O
