Basic Details,,,,,,Customer Focus,,,Utility Characteristics,,Narrative Highlights and References,,,,Select Tariff Characteristics,,,,,,
State,Utility,Tariff or Service Rule,Status,Year,Last Updated in DELTa,Sector or Segment,Minimum Demand (MW),Minimum Load Factor,Utility Type,ISO/RTO,Narrative Highlights,Docket(s) Link,Final Decision Link,Tariff or Service Rule Link,Contract Term,Load Ramp-Up Period,Minimum Bill as a % of Contract Capacity,Financial Assurance & Contributions,Customer Pays Utility Study Costs,Contract Modification Provisions,Energy Transition Provisions
Delaware,Delmarva Power,General Service - Large Demand Rate,Proposed / Pending,2025,2026-03 March,Large-Load Customers,25,Not Specified,Investor-Owned,PJM,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On October 15, 2025, the Delaware Public Service Commission issued an order opening a docket to require Delmarva Power & Light to promulgate a large load tariff for customers that will use a monthly maximum demand of 25 MW or greater and further requiring the tariff to be in place before interconnecting any large load customers who were not already interconnected by September 3, 2025.

On December 19, 2025, Delmarva Power proposed a new service class, General Service - Large Demand (GS-LD) for large demand customers with a monthly maximum demand of 25 MW or greater, in alignment with the Commission's October 2025 order. However, the utility recommends that the Commission consider aligning the threshold with the 50 MW definition which it proposed concurrently in a new large load customer definition (Rules and Regulations, Docket No. 25-0826). The utility notes the same structure for GS-LD as existing tariff GS-T (General Service - Transmission), including the hourly priced service, minimum demand, metering, peak hours, billing demand, and minimum charge.",Docket No. 25-0826,Decision Pending,Tariff Pending,1 Year,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified.,Not Specified
Delaware,Delmarva Power,Rules and Regulations,Proposed / Pending,2025,2026-03 March,Large-Load Customers,50,Not Specified ,Investor-Owned,PJM,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On October 15, 2025, the Delaware Public Service Commission issued an order opening a docket to require Delmarva Power & Light to promulgate a large load tariff for customers that will use a monthly maximum demand of 25 MW or greater and further requiring the tariff to be in place before interconnecting any large load customers who were not already interconnected by September 3, 2025.

On December 19, 2025, Delmarva Power proposed revisions to its Rules and Regulations applicable to large load customers, including a new definition of large load customers as those with projected new load or load additions of at least 50 MW over a 10 year load ramp period. Through a cash deposit for engineering reviews, applicants must pay for the costs of a system impacts analysis and a subsquent detailed engineering analysis. The revisions additionally require a deposit for long lead time equipment, financial assurances for expected distribution extension costs, and a transmission security agreement. Deposts over $2 million must be backed by a letter of credit.",Docket No. 25-0826,Decision Pending,Service Rules Pending,Not Specified,10 Years,Not Specified,"Deposit
Letter of Credit 
Transmission Security Agreement",Study Costs,Not Specified,Not Specified
Florida,Duke Energy Florida,Large Load Customer Policy including Large Load Customer Agreement,Proposed / Pending,2025,2025-11 November,Large-Load Customers,100,Not Specified,Investor-Owned,No,"This information is derived from the proposed tariff, which is subject to regulatory approval.
Supplementing the proposed LLC-1, described above, Duke Energy also proposed that all large-load customers with a Peak Contract Demand reasonably expected to meet or exceed a Monthly Maximum Demand of 100,000 kW of firm load during a 15-20 year contract term would be subject to a new Large Load Customer Policy (LLCP) and would execute a corresponding Large Load Customer Agreement (LLCA). Together, the LLCP and LLCA would add terms and conditions designed to protect other retail customers from bearing the cost burden of potential future stranded or underutilized assets. 

The LLCP would require applicable customers to enter into a LLCA, kept on file with the Florida Public Service Commission and specifying provisions for electric service, including, but not limited to. load characteristics, customer-specific terms, applicable construction cost recovery terms, and other service details. Proposed LLCA terms include a non-refundable system impact study fees. The LLCA would also include a 75%-85% minimum bill, long minimum contract term (at least 15 years but no more than 20 years), 2- to 5-year exit notice period, exit fees commensurate with the level of project maturity at termination, security (letter of credit, cash, or parent guarantee), and other related provisions.",Docket No. 20250113,Decision Pending,Service Rules Pending,15 Years,Yes (Optional; Included in Contract Term),75% - 85%,"Letter of Credit, Cash Security, or Parent Guaranty
CIAC  
Full Cost to Extend Service (Refundable)",System Impact Study Fee,"Annual Revisions to Financial Assurance Requirement
Exit Notice Period
Exit Fee",Not Specified
Florida,Duke Energy Florida,Rate Schedule LLC-1: Large Load Customer General Service Optional High Load Factor Rate,Proposed / Pending,2025,2025-11 November,Large-Load Customers,1,Not Specified,Investor-Owned,No,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On September 5, 2025, Duke Energy filed a petition with the Florida Public Service Commission seeking approval of a new Large Load Customer General Service Optional High Load Factor Rate (LLC-1). The LLC-1 tariff is optional for non-residential customers with a billing demand of 1,000 kW or more at transmission voltage of 230 kV or higher. It includes minimum 36-month service terms, restrictions on rider eligibility, and specific billing demand and contract requirements. Customers with demand of 50 MW or greater may be required to provide additional assurances, though existing sites as of December 31, 2024, are exempt from requirements beyond general service rules. Under the proposal, LLC-1 would become effective in January 2028. 

Additionally, the utility proposed that all large load customers with a Peak Contract Demand reasonably expected to meet or exceed a Monthly Maximum Demand of 100,000 kW of firm load during the contract term would be subject to the new and accompanying Large Load Customer Policy (LLCP) and would execute a corresponding Large Load Customer Agreement (LLCA).",Docket No. 20250113,Decision Pending,Tariff Pending,3 Years,Not Specified,75%,"Financial and/or Performance and Credit Assurance, if 50 MW or more",Not Specified,Contract Capacity Changes,Not Specified
Florida,Florida Power & Light,Large Load Contract Service-1 (LLCS-1) and Large Load Contract Service-2 (LLCS-2),Approved,2025,2026-03 March,Large-Load Customers,50,85%,Investor-Owned,No,"On February 28, 2025, as part of its 2025 general rate case filing with the Florida Public Service Commission, Florida Power and Light Company (FPL) proposed two new rate schedules, Large Load Contract Service One (LLCS-1) and Large Load Contract Service Two (LLCS-2), to support the integration of substantial new customer loads. LLCS-1 is capped at 3,000 MW and available only in three designated zones near Sunbreak in St. Lucie County, Tesoro in Martin County, and Sugar in Palm Beach County, areas chosen for their proximity to FPL’s 500 kilovolt transmission infrastructure and suitability for new generation. The schedule includes a stated rate for incremental generation capacity, which will be updated in future rate proceedings, and will close to new load once the 3,000 megawatt limit is reached. LLCS-2 offers similar service to customers outside the LLCS-1 zones but does not include a megawatt cap or a fixed rate for incremental generation; instead, charges will vary based on the specific infrastructure needed to serve each customer’s load, offering geographic flexibility in exchange for cost variability. 

On August 20, 2025, FPL and other stakeholders filed a joint stipulation and settlement agreement. If approved, the agreement would take effect on January 1, 2026, and remain in place through December 31, 2029, or until new base rates are established. The proposed settlement includes approval of LLCS-1 and LLCS-2, with key modifications including a higher minimum load (50 MW), reduced minimum take-or-pay demand charge (70%), revisions to financial assurance requirements, and other proposed changes. The settlement agreement was approved by the Commission on November 20, 2025.",Docket No. 20250011 ,Order,Large Load Contract Service-1 (LLCS-1) and Large Load Contract Service-2 (LLCS-2),20 Years,Negotiated With Customer,70%,"CIAC
Parent Guranty, Letter of Credit, Surety Bond, or Collateral Security",Study Costs,"Notice to Change or Exit
Change or Exit Fees",Not Specified
Georgia,Georgia Power,Rules and Regulations,Approved,2025,2025-11 November,Large-Load Customers,100,Not Specified,Investor-Owned,No,"On January 28, 2025, Georgia Power received approval from the Georgia Public Service Commission for amendments to its electric service rules and regulations with additional terms for customers with a peak demand of at least 100 MW, enacted in general rules as well as transmission and wholesale distribution line extension and service regulations. The amendments grant the utility discretion to impose longer contract terms than are stated in the large-load customer's applicable tariff; implement minimum billing; and require performance and credit provisions. These are collectively designed to build upon existing cost recovery mechanisms for site-specific costs (vis a vis contributions in aid of construction, and upfront payments) to protect other customers and ensure effective cost recovery of new upstream generation, transmission and distribution costs to serve large-load customers. Georgia Power is adjusting several existing tariffs to reflect these approved amended Rules and Regulations. Pursuant to the Commission's approval order, Georgia Power also will file proposed large-load customer contracts for Commission review at least 30 days prior to execution, for at least the first 12 executed large-load contracts. ",Docket No. 44280,Order,Rules and Regulations,15 years,Not Specified,Individual Customer Contract Terms,"Performance and Credit Assurance
CIAC
Upfront Capacity Charge",Not Specified,Exit Fee,Not Specified
Idaho,Idaho Power,Schedule 20: Speculative High-Density Load,Approved,2024,2025-07 July,Large-Load Customers,2,Not Specified,Investor-Owned,"No, but is part of CAISO's WEIM","Idaho Power's Schedule 20, effective January 1, 2024, applies to customers with speculative high-density loads—such as cryptocurrency mining operations—that exhibit high energy use density and demand. These customers are subject to interruptible service during summer peak hours. The tariff aims to ensure that energy and infrastructure costs are appropriately recovered from high-risk, high-load customers.

Schedule 20 contains three rates and contract options. It is applicable to customers whose energy usage at one point of delivery exceeds 2,000 kWh per billing period, three or more times in 12 months. It is also applicable to and may be mandatory for customers who ""have the ability to relocate quickly in response to short-term economic signals and meet four or more of..."" seven criteria related to load and financial characteristics. Customers with >20,000 kW demand are ineligble and must make special contract arrangements.

Schedule 20 rates and contract options include:
Speculative High-Density Load Large Power Service Rates-- mandatory for customers registering metered demand >=1,000 kW three or more of the most recent 12 billing periods;
Speculative High-Density Load Large General Service Rates-- for customers that have not registered metered demand >=1,000 kW more than twice during the most recent 12 billing periods;
Applicable customers may optionally take service under a special contract for firm electric demand of 10 MW to 20 MW.",Case No. IPC-E-21-37,Order,Schedule 20: Speculative High-Density Load,Not Specified,Not Specified,Not Specified,Not Specified,"Study Costs

",Not Specified,"TOU Pricing
Interruptible Load

"
Illinois,Commonwealth Edison,Revisions to General Terms & Conditions (GT&C),Proposed / Pending,2025,2026-03 March,Large-Load Customers,50,Not Specified,Investor-Owned,PJM,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On June 23, 2025, Commonwealth Edison Company (ComEd) proposed several revisions to its General Terms & Conditions (GT&C), collectively designed to memorialize existing practices and create new ones to ensure that new service requests by large demand applicants and customers, ""neither harm, nor unjustly shift costs to, other customers."" 

Proposed revisions include: define large projects/customers as those requesting revised or new service equal to or over 50 MW in 10 calendar years of service; use deposits or security to ensure recovery of engineering costs of large demand project applications; facilitate the procurement of long-lead materials in ways that do not place cost and risk on other consumers; memorialize utility requirements for applicant letter of credit, as well as utility practices related to transmission revenue requirements and to conducting ""cluster"" studies for multiple applicants in a joint process. 

On December 3, 2025, the administrative law judge filed a proposed order recommending that the Commission approve ComEd's proposed GT&C revisions as outlined above, except for minor language modifications that would clarify and mandate the proposed transmission revenue requirements. ",Docket No. P2025-0677 ,Decision Pending,Tariff Pending,Not Specified,"10 Years

",Not Specified,"Materials Deposit
Collateral Security
Transmission Revenue Security

","Study Costs

",Not Specified,Not Specified
Illinois,Commonwealth Edison,Rider DE -- Distribution System Extensions,Proposed / Pending,2025,2026-03 March,Large-Load Customers,50,Not Specified,Investor-Owned,PJM,"This information is derived from the proposed tariff, which is subject to regulatory approval.
On June 23, 2025, Commonwealth Edison Company (ComEd) proposed revisions to Rider DE that clarify requirements and procedures for large load customers' new service requests, requesting an effective date of August 7, 2025. In its filing to the Illinois Commerce Commission, ComEd explained that the revisions are designed to help ensure that such requests, ""neither harm, nor unjustly shift costs to, other customers."" Proposed revisions include deposits or security to ensure recovery of on-property distribution costs, in addition to off-property extension distribution costs; and revisions to the definition of and conditions for a letter of credit or nonrefundable payment to provide standard electric services. While applicable to all customers seeking new or expanded service, ComEd notes that for customers expected to require 50MW or more within 10 years, the proposal includes a customer deposit for utility facilities on customer premises. Applicable customers with a deposit amount of $2 million or more would be required to provide a qualifying Acceptable Letter of Credit in lieu of a deposit. 

On December 3, 2025, the administrative law judge filed a proposed order finding that ComEd's revisions to Rider DE are just, reasonable, and should be adopted.",Docket No. P2025-0679 ,Decision Pending,Tariff Pending,Not Specified,"10 Years

",Not Specified,"Deposit
Letter of Credit
Credit Evaluation 
Risk Screening","Study Costs

",Security Reductions or Release,Not Specified
Indiana,Indiana Michigan Power,Industrial Power – Tariff I.P.,Approved,2025,2025-07 July,Large-Load Customers,70,Not Specified,Investor-Owned,PJM,"On July 19, 2024, Indiana Michigan Power filed a petition for approval to update its industrial power tariff to incorporate terms to accommodate large load customers. The parties filed a settlement agreement on November 22, 2024. The settlement agreement applies to customers with loads of 70 MW or more at an individual plant or 150 MW at aggregated premises, includes a contract term of not less than 12 years, adopts the increased collateral requirement proposed by the utility but with an exception for customers with a high credit rating, and allows customers to reduce their load by more than 20% with payment of an exit fee. The settlement also requires the utility to work with the settling parties to develop a Clean Transition Tariff that will allow participants to support investment in carbon-free resources. On February 19, 2025, the Indiana Utility Regulatory Commission issued a final order approving the settlement agreement with modifications related to Commission oversight of contract exits.",Docket No. 46097,Order,Industrial Power – Tariff I.P.,12 Years,"5 Years
(Distinct from initial contract term)",80%,"Credit Rating
Collateral Requirement

","Study Costs

","Contract Capacity Changes
Notice to Change or Exit
Change or Exit Fees",Settling Parties to Develop Separate Clean Transition Tariff
